epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_precision_c5,train_recall_c5,train_f1_c5,train_support_c5,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,val_loss,is_best
1,2.125e-05,0.26865671641791045,0.07142857142857142,0.0018242626938278494,-0.0037453183520599342,0.0,0.0,0.0,12,0.2727272727272727,1.0,0.42857142857142855,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.9374536720674429,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6615847827208162,True
2,3.25e-05,0.26865671641791045,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,12,0.26865671641791045,1.0,0.4235294117647059,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.8698811657393156,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6559326200774221,False
3,4.375e-05,0.26865671641791045,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,12,0.26865671641791045,1.0,0.4235294117647059,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.8249545826840756,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6798854896516511,False
4,5.4999999999999995e-05,0.13432835820895522,0.053196347031963465,0.011950165268243218,0.02504230118443329,0.0,0.0,0.0,12,0.5,0.05555555555555555,0.1,18,0.12307692307692308,1.0,0.2191780821917808,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.780318457510934,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.7253798793662678,False
5,6.625e-05,0.11940298507462686,0.035555555555555556,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.11940298507462686,1.0,0.21333333333333335,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7457778517879657,0.030303030303030304,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.030303030303030304,1.0,0.058823529411764705,1,0.779368051254388,False
6,7.75e-05,0.14925373134328357,0.07089201877934272,0.02601377199693966,0.02865812542144297,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.12698412698412698,1.0,0.22535211267605634,8,0.5,0.125,0.2,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7526961214506804,0.030303030303030304,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.030303030303030304,1.0,0.058823529411764705,1,0.7852395992688458,False
7,8.875e-05,0.16417910447761194,0.08146766169154229,0.035227564926716304,0.03451742627345855,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.13559322033898305,1.0,0.23880597014925373,8,0.375,0.1875,0.25,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7431742851413897,0.15151515151515152,0.09595959595959595,0.021186440677965934,0.02302631578947356,0.0,0.0,0.0,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.14285714285714285,0.8,0.24242424242424243,5,0.2,1.0,0.3333333333333333,1,0.752755562283776,True
8,0.0001,0.29850746268656714,0.18532633242999097,0.13607681755829892,0.3045734674018812,0.0,0.0,0.0,12,0.5555555555555556,0.5555555555555556,0.5555555555555556,18,0.15151515151515152,0.625,0.24390243902439024,8,0.3125,0.3125,0.3125,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7040180147583804,0.24242424242424243,0.18742288307505697,0.1288278775079198,0.49272953884503523,0.29411764705882354,0.8333333333333334,0.43478260869565216,6,0.0,0.0,0.0,9,0.25,0.2,0.2222222222222222,5,0.0,0.0,0.0,7,0.5,0.2,0.2857142857142857,5,0.1,1.0,0.18181818181818182,1,0.5517457782018064,True
9,9.998052800596113e-05,0.44776119402985076,0.2941034628483357,0.2999152781700084,0.5432922407541696,0.0,0.0,0.0,12,0.5142857142857142,1.0,0.6792452830188679,18,0.16666666666666666,0.25,0.2,8,0.6666666666666666,0.25,0.36363636363636365,16,0.42857142857142855,0.6666666666666666,0.5217391304347826,9,0.0,0.0,0.0,4,0.6128374055250367,0.24242424242424243,0.16968599033816423,0.11764705882352944,0.526457399103139,0.29411764705882354,0.8333333333333334,0.43478260869565216,6,0.0,0.0,0.0,9,0.2857142857142857,0.4,0.3333333333333333,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.14285714285714285,1.0,0.25,1,0.49683740169110924,False
10,9.992212734338192e-05,0.373134328358209,0.21405295779783065,0.21242653232577668,0.5408951742236477,0.0,0.0,0.0,12,0.5142857142857142,1.0,0.6792452830188679,18,0.0625,0.125,0.08333333333333333,8,0.0,0.0,0.0,16,0.42857142857142855,0.6666666666666666,0.5217391304347826,9,0.0,0.0,0.0,4,0.5402575325610033,0.3333333333333333,0.23355263157894735,0.2292993630573249,0.5838991270611057,0.5,0.8333333333333334,0.625,6,0.0,0.0,0.0,9,0.35714285714285715,1.0,0.5263157894736842,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.14285714285714285,1.0,0.25,1,0.4851703627543016,True
