kind,variant,task,ttype,metric,mean,std,n_folds
modality,eeg_emg,BI,regression,MAE,6.9721136519544835,2.25542464980355,3
modality,eeg_emg,BI,regression,RMSE,9.303687871809709,2.503939599920971,3
modality,eeg_emg,BI,regression,PearsonR,0.9486562049477306,0.013797697300905302,3
modality,eeg_emg,BI,regression,SpearmanRho,0.9408904059005468,0.007031106826883636,3
modality,eeg_emg,BI,regression,R2,0.8751336367444891,0.061826314171910826,3
modality,eeg_emg,BI,regression,NMAE,0.06972113651954477,0.0225542464980355,3
modality,eeg_emg,FMA_UE,regression,MAE,1.6646820248696184,0.02898284228297062,3
modality,eeg_emg,FMA_UE,regression,RMSE,2.1715149392455766,0.30070097087435327,3
modality,eeg_emg,FMA_UE,regression,PearsonR,0.9594245933559163,0.03093311687432133,3
modality,eeg_emg,FMA_UE,regression,SpearmanRho,0.956845087969883,0.024376715441839603,3
modality,eeg_emg,FMA_UE,regression,R2,0.8848858996691056,0.044261558216306625,3
modality,eeg_emg,FMA_UE,regression,NMAE,0.08323410124348087,0.0014491421141485292,3
modality,eeg_emg,hand_function,classification,Accuracy,0.690136660724896,0.03253221170647124,3
modality,eeg_emg,hand_function,classification,MacroF1,0.6564814184036152,0.026477586127748358,3
modality,eeg_emg,hand_function,classification,CohenKappa,0.6027901299625087,0.042405033764094185,3
modality,eeg_emg,hand_function,classification,WeightedKappa,0.7822261052687053,0.027362546213742425,3
modality,eeg_emg,hand_tone,classification,Accuracy,0.5995246583481878,0.15700784624746067,3
modality,eeg_emg,hand_tone,classification,MacroF1,0.46401187562066104,0.18460680725532713,3
modality,eeg_emg,hand_tone,classification,CohenKappa,0.4889607137323382,0.20808192463661587,3
modality,eeg_emg,hand_tone,classification,WeightedKappa,0.6390771622708695,0.1895233898953443,3
modality,eeg_imu,BI,regression,MAE,8.329910455257213,0.607279388180267,3
modality,eeg_imu,BI,regression,RMSE,13.793001608490153,2.052486551167519,3
modality,eeg_imu,BI,regression,PearsonR,0.8674024899844325,0.032000881121221444,3
modality,eeg_imu,BI,regression,SpearmanRho,0.8667413907158158,0.03724246142335966,3
modality,eeg_imu,BI,regression,R2,0.7314358171535522,0.07038898928163514,3
modality,eeg_imu,BI,regression,NMAE,0.0832991045525721,0.006072793881802646,3
modality,eeg_imu,FMA_UE,regression,MAE,2.707604015096624,0.6765354868367637,3
modality,eeg_imu,FMA_UE,regression,RMSE,3.8719496637433615,0.736474254480363,3
modality,eeg_imu,FMA_UE,regression,PearsonR,0.8518565934514929,0.05387453476027977,3
modality,eeg_imu,FMA_UE,regression,SpearmanRho,0.841984248463219,0.03593782749646278,3
modality,eeg_imu,FMA_UE,regression,R2,0.6285444494502613,0.17576279608249618,3
modality,eeg_imu,FMA_UE,regression,NMAE,0.13538020075483115,0.0338267743418382,3
modality,eeg_imu,hand_function,classification,Accuracy,0.49910873440285214,0.09813639649554942,3
modality,eeg_imu,hand_function,classification,MacroF1,0.35985603716319003,0.09873422925197148,3
modality,eeg_imu,hand_function,classification,CohenKappa,0.3415784263352489,0.13503434175339823,3
modality,eeg_imu,hand_function,classification,WeightedKappa,0.5523743810763302,0.1667875001666222,3
modality,eeg_imu,hand_tone,classification,Accuracy,0.4503862150920974,0.11120956743091784,3
modality,eeg_imu,hand_tone,classification,MacroF1,0.3102023423112878,0.10869761290087382,3
modality,eeg_imu,hand_tone,classification,CohenKappa,0.3015623175695901,0.1409247177932266,3
modality,eeg_imu,hand_tone,classification,WeightedKappa,0.5106931908209457,0.18957748651400352,3
modality,eeg_only,BI,regression,MAE,31.78002777824923,2.517562341261995,3
modality,eeg_only,BI,regression,RMSE,39.74519703296941,3.5238653008741196,3
modality,eeg_only,BI,regression,PearsonR,0.31574521967224384,0.18983670698997385,3
modality,eeg_only,BI,regression,SpearmanRho,0.4389310657018996,0.30234817744379344,3
modality,eeg_only,BI,regression,R2,-1.2019361923925422,0.14472209791972462,3
modality,eeg_only,BI,regression,NMAE,0.3178002777824923,0.02517562341261994,3
modality,eeg_only,FMA_UE,regression,MAE,6.386706983200227,2.0435993621459874,3
modality,eeg_only,FMA_UE,regression,RMSE,8.132912937548104,2.389364980147751,3
modality,eeg_only,FMA_UE,regression,PearsonR,0.5832316725481053,0.1507123717050765,3
modality,eeg_only,FMA_UE,regression,SpearmanRho,0.6057779867743157,0.14853091846262778,3
modality,eeg_only,FMA_UE,regression,R2,-0.6043090224718878,0.7458417534488919,3
modality,eeg_only,FMA_UE,regression,NMAE,0.31933534916001133,0.10217996810729937,3
modality,eeg_only,hand_function,classification,Accuracy,0.28966131907308373,0.04217297028278425,3
modality,eeg_only,hand_function,classification,MacroF1,0.11264239028944904,0.0337382887536301,3
modality,eeg_only,hand_function,classification,CohenKappa,0.020540327210103366,0.059644292178958655,3
modality,eeg_only,hand_function,classification,WeightedKappa,0.0007071440927174655,0.05706400236471439,3
modality,eeg_only,hand_tone,classification,Accuracy,0.1996434937611408,0.03087434594596929,3
modality,eeg_only,hand_tone,classification,MacroF1,0.055352055352055264,0.007049453836259166,3
modality,eeg_only,hand_tone,classification,CohenKappa,0.0,0.0,3
modality,eeg_only,hand_tone,classification,WeightedKappa,0.0,0.0,3
modality,emg_imu,BI,regression,MAE,28.87233839924677,4.695771766641656,3
modality,emg_imu,BI,regression,RMSE,35.61813083682387,6.39897297511737,3
modality,emg_imu,BI,regression,PearsonR,0.5407605601792009,0.0864868757658209,3
modality,emg_imu,BI,regression,SpearmanRho,0.7598153822198376,0.21297060136139548,3
modality,emg_imu,BI,regression,R2,-0.8069705130797177,0.5982947433135761,3
modality,emg_imu,BI,regression,NMAE,0.28872338399246766,0.04695771766641653,3
modality,emg_imu,FMA_UE,regression,MAE,4.534645113290525,2.33791188972511,3
modality,emg_imu,FMA_UE,regression,RMSE,6.2688324527001855,2.6002656939038435,3
modality,emg_imu,FMA_UE,regression,PearsonR,0.8142939308256277,0.10636386862012692,3
modality,emg_imu,FMA_UE,regression,SpearmanRho,0.8165148428933461,0.08851848786598769,3
