epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.23880597014925373,0.1211781206171108,0.008127721335268623,0.010795364343546665,0.3076923076923077,0.2222222222222222,0.25806451612903225,18,0.2222222222222222,0.8,0.34782608695652173,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.7651611063017774,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6862767154520208,True
2,3.25e-05,0.22388059701492538,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,18,0.22388059701492538,1.0,0.36585365853658536,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.7228607825378873,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6713656135279723,False
3,4.375e-05,0.22388059701492538,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,18,0.22388059701492538,1.0,0.36585365853658536,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6947101158882255,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6848697532307018,False
4,5.4999999999999995e-05,0.208955223880597,0.10364179104477611,0.0022478224220287,0.00884203366774361,0.0,0.0,0.0,18,0.23076923076923078,0.8,0.3582089552238806,15,0.13333333333333333,0.2,0.16,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6775367060704017,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.7002106823102392,False
5,6.625e-05,0.1791044776119403,0.0984984984984985,0.03128286014721349,0.01200274348422492,0.0,0.0,0.0,18,0.6666666666666666,0.13333333333333333,0.2222222222222222,15,0.15625,1.0,0.2702702702702703,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6731508626866697,0.15151515151515152,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.15151515151515152,1.0,0.2631578947368421,5,0.727302938759929,False
6,7.75e-05,0.16417910447761194,0.07763157894736841,0.01625589931830107,0.011663807890223032,0.0,0.0,0.0,18,1.0,0.06666666666666667,0.125,15,0.15151515151515152,1.0,0.2631578947368421,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6663033665116154,0.3333333333333333,0.19230769230769232,0.09701492537313428,0.062962962962963,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.3,1.0,0.46153846153846156,9,0.6666666666666666,0.4,0.5,5,0.7083055048277884,True
7,8.875e-05,0.16417910447761194,0.09142033165104542,0.012371676757041206,0.0006857534716268043,0.0,0.0,0.0,18,0.5,0.13333333333333333,0.21052631578947367,15,0.14285714285714285,0.9,0.2465753424657534,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6564687988651332,0.2727272727272727,0.13,0.04116222760290544,0.007885657959585957,0.25,1.0,0.4,8,1.0,0.14285714285714285,0.25,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.684313238871218,False
8,0.0001,0.3283582089552239,0.19004878048780488,0.1721581548599671,0.30528641849396565,0.0,0.0,0.0,18,0.4,0.9333333333333333,0.56,15,0.25806451612903225,0.8,0.3902439024390244,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6122152848030205,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.7420838475227356,False
9,9.998052800596113e-05,0.3582089552238806,0.2621027721433401,0.20083217753120663,0.5019392372333549,0.0,0.0,0.0,18,0.3888888888888889,0.9333333333333333,0.5490196078431373,15,0.35714285714285715,0.5,0.4166666666666667,10,0.29411764705882354,0.4166666666666667,0.3448275862068966,12,0.0,0.0,0.0,12,0.5326078624867682,0.24242424242424243,0.08,0.004825090470446325,-0.009871668311944859,0.25,1.0,0.4,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.7313411237013461,False
10,9.992212734338192e-05,0.5970149253731343,0.5403840179702248,0.48622550411814824,0.7351778656126482,0.6818181818181818,0.8333333333333334,0.75,18,0.5,0.4666666666666667,0.4827586206896552,15,1.0,0.5,0.6666666666666666,10,0.48,1.0,0.6486486486486487,12,1.0,0.08333333333333333,0.15384615384615385,12,0.44803378946745576,0.42424242424242425,0.3124110671936759,0.28992072480181197,0.6350230414746543,0.5714285714285714,1.0,0.7272727272727273,8,0.0,0.0,0.0,7,1.0,0.25,0.4,4,0.0,0.0,0.0,9,0.2777777777777778,1.0,0.43478260869565216,5,0.46415587428844335,True
