epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_precision_c5,train_recall_c5,train_f1_c5,train_support_c5,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,val_loss,is_best
1,2.125e-05,0.25757575757575757,0.07083333333333333,0.004616805170821747,-0.011741682974559797,0.0,0.0,0.0,12,0.2698412698412698,1.0,0.425,17,0.0,0.0,0.0,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.8478412928003254,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6823408701840569,True
2,3.25e-05,0.25757575757575757,0.06827309236947791,0.0,0.0,0.0,0.0,0.0,12,0.25757575757575757,1.0,0.40963855421686746,17,0.0,0.0,0.0,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.8325402097268538,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6682407005160462,False
3,4.375e-05,0.25757575757575757,0.06827309236947791,0.0,0.0,0.0,0.0,0.0,12,0.25757575757575757,1.0,0.40963855421686746,17,0.0,0.0,0.0,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.8058393082835458,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.679268901722104,False
4,5.4999999999999995e-05,0.22727272727272727,0.08068783068783068,-0.01661129568106312,0.04089219330855043,0.0,0.0,0.0,12,0.2545454545454545,0.8235294117647058,0.3888888888888889,17,0.09090909090909091,0.1,0.09523809523809523,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7815289275212721,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6877028334374521,False
5,6.625e-05,0.13636363636363635,0.0410958904109589,-0.023673469387754942,-0.0316248636859322,0.0,0.0,0.0,12,0.0,0.0,0.0,17,0.14285714285714285,0.9,0.2465753424657534,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7791049399159171,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6993778277845943,False
6,7.75e-05,0.15151515151515152,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,17,0.15151515151515152,1.0,0.2631578947368421,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7788012053027298,0.14705882352941177,0.04273504273504273,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.14705882352941177,1.0,0.2564102564102564,5,0.0,0.0,0.0,2,0.7251547549285141,False
7,8.875e-05,0.15151515151515152,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,17,0.15151515151515152,1.0,0.2631578947368421,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.76016335848606,0.14705882352941177,0.04273504273504273,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.14705882352941177,1.0,0.2564102564102564,5,0.0,0.0,0.0,2,0.7329238716293783,False
8,0.0001,0.15151515151515152,0.04504504504504505,-0.0027129679869777323,0.028353326063249695,0.0,0.0,0.0,12,0.0,0.0,0.0,17,0.15625,1.0,0.2702702702702703,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7565767718083931,0.14705882352941177,0.04273504273504273,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.14705882352941177,1.0,0.2564102564102564,5,0.0,0.0,0.0,2,0.7210184511016396,False
9,9.998052800596113e-05,0.16666666666666666,0.06590413943355121,0.011437908496732097,0.05509242479159138,0.0,0.0,0.0,12,0.0,0.0,0.0,17,0.16129032258064516,1.0,0.2777777777777778,10,0.5,0.06666666666666667,0.11764705882352941,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7462733642621474,0.14705882352941177,0.043859649122807015,-0.040084388185654074,-0.017094017094017033,0.15625,0.8333333333333334,0.2631578947368421,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6859210806734422,False
10,9.992212734338192e-05,0.4393939393939394,0.20493827160493827,0.2626811594202898,0.5544945670069148,0.0,0.0,0.0,12,0.4594594594594595,1.0,0.6296296296296297,17,0.0,0.0,0.0,10,0.48,0.8,0.6,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.667691376173135,0.38235294117647056,0.2995762407527114,0.27142857142857135,0.45039018952062426,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,0.8571428571428571,0.6,0.7058823529411765,10,0.1111111111111111,0.6666666666666666,0.19047619047619047,3,0.0,0.0,0.0,8,0.5,0.2,0.2857142857142857,5,0.0,0.0,0.0,2,0.6418134383126801,True
