epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.22388059701492538,0.1008625063419584,-0.007810240092565923,-0.009068825910931277,0.2222222222222222,0.1111111111111111,0.14814814814814814,18,0.22413793103448276,0.8666666666666667,0.3561643835616438,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.7631009078737515,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6792491932107945,True
2,3.25e-05,0.22388059701492538,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,18,0.22388059701492538,1.0,0.36585365853658536,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.7208889000451387,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6716524839401246,False
3,4.375e-05,0.22388059701492538,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,18,0.22388059701492538,1.0,0.36585365853658536,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6940368321404529,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.678900023181029,False
4,5.4999999999999995e-05,0.208955223880597,0.10364179104477611,0.0022478224220287,0.00884203366774361,0.0,0.0,0.0,18,0.23076923076923078,0.8,0.3582089552238806,15,0.13333333333333333,0.2,0.16,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6766453629109397,0.30303030303030304,0.17537537537537537,0.09318996415770597,0.14244465832531283,0.27586206896551724,1.0,0.43243243243243246,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.5,0.4,0.4444444444444444,5,0.7009994535735159,True
5,6.625e-05,0.14925373134328357,0.06999999999999999,-0.006589351607801719,-0.010627356873500027,0.0,0.0,0.0,18,0.2,0.06666666666666667,0.1,15,0.14516129032258066,0.9,0.25,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6717473528278408,0.15151515151515152,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.15151515151515152,1.0,0.2631578947368421,5,0.7213994053879169,False
6,7.75e-05,0.19402985074626866,0.11608391608391608,0.038788522848034024,0.10513698630137003,0.0,0.0,0.0,18,0.36363636363636365,0.26666666666666666,0.3076923076923077,15,0.16071428571428573,0.9,0.2727272727272727,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6593683321084549,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6663607476937651,False
7,8.875e-05,0.3283582089552239,0.19090909090909092,0.17487684729064035,0.3142272262026613,0.0,0.0,0.0,18,0.36363636363636365,0.8,0.5,15,0.29411764705882354,1.0,0.45454545454545453,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6206133993703927,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.7000955143360177,False
8,0.0001,0.4626865671641791,0.39171842650103517,0.3232323232323232,0.5515394912985274,0.6190476190476191,0.7222222222222222,0.6666666666666666,18,0.38461538461538464,0.3333333333333333,0.35714285714285715,15,0.36363636363636365,0.8,0.5,10,0.45454545454545453,0.4166666666666667,0.43478260869565216,12,0.0,0.0,0.0,12,0.5616214619643652,0.36363636363636365,0.2095238095238095,0.22396416573348255,0.45838218053927315,0.5,1.0,0.6666666666666666,8,0.0,0.0,0.0,7,0.23529411764705882,1.0,0.38095238095238093,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.521869815359212,True
9,9.998052800596113e-05,0.5522388059701493,0.45921921921921915,0.4302721088435374,0.6917607695524886,0.6296296296296297,0.9444444444444444,0.7555555555555555,18,0.8,0.26666666666666666,0.4,15,0.6,0.6,0.6,10,0.4,0.8333333333333334,0.5405405405405406,12,0.0,0.0,0.0,12,0.5115437004103589,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.967597053267739,False
10,9.992212734338192e-05,0.5970149253731343,0.5099029006122827,0.4868085106382979,0.7395891171571349,0.6071428571428571,0.9444444444444444,0.7391304347826086,18,0.75,0.2,0.3157894736842105,15,0.9,0.9,0.9,10,0.44,0.9166666666666666,0.5945945945945946,12,0.0,0.0,0.0,12,0.4535690820039208,0.30303030303030304,0.2,0.12355658198614317,0.29544143104443166,0.5,1.0,0.6666666666666666,8,0.0,0.0,0.0,7,0.25,0.5,0.3333333333333333,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6039297334473542,False
11,9.982484395882215e-05,0.6567164179104478,0.5982429335370512,0.5638267761109539,0.7676515466777639,0.6538461538461539,0.9444444444444444,0.7727272727272727,18,0.8333333333333334,0.3333333333333333,0.47619047619047616,15,0.9090909090909091,1.0,0.9523809523809523,10,0.5,0.9166666666666666,0.6470588235294118,12,0.5,0.08333333333333333,0.14285714285714285,12,0.3983921739592481,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,1.0872784407451899,False
