epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.21212121212121213,0.08766157461809636,-0.037484885126964906,-0.017910447761193993,0.125,0.06666666666666667,0.08695652173913043,15,0.22413793103448276,0.8125,0.35135135135135137,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.7251155589566086,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.6989916721979778,True
2,3.25e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.68683099602208,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7146320132648244,False
3,4.375e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6564191579818726,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7276635801090914,False
4,5.4999999999999995e-05,0.22727272727272727,0.0989345509893455,-0.000892060660124816,0.051524710830704534,0.0,0.0,0.0,15,0.24561403508771928,0.875,0.3835616438356164,16,0.1111111111111111,0.1111111111111111,0.1111111111111111,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6408629890644189,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7717487819054547,False
5,6.625e-05,0.13636363636363635,0.04864864864864865,-0.0018641810918775814,0.012769062385990515,0.0,0.0,0.0,15,0.0,0.0,0.0,16,0.13846153846153847,1.0,0.24324324324324326,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6372001991127476,0.2647058823529412,0.14720496894409937,0.047085201793722,0.08430913348946134,0.5,0.5454545454545454,0.5217391304347826,11,0.13636363636363635,0.5,0.21428571428571427,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.746910385057038,False
6,7.75e-05,0.16666666666666666,0.09070422535211267,0.027852169255490167,0.05096468875136517,0.0,0.0,0.0,15,0.5,0.125,0.2,16,0.14516129032258066,1.0,0.2535211267605634,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6310598331870455,0.17647058823529413,0.1438095238095238,-0.04961411245865488,0.08215962441314562,0.3333333333333333,0.2727272727272727,0.3,11,0.08333333333333333,0.3333333333333333,0.13333333333333333,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,1.0,0.16666666666666666,0.2857142857142857,6,0.774245759085113,False
7,8.875e-05,0.24242424242424243,0.13817829457364342,0.0672696438665914,0.21120228326792723,0.0,0.0,0.0,15,0.34375,0.6875,0.4583333333333333,16,0.14705882352941177,0.5555555555555556,0.23255813953488372,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6031095089334431,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7307995604533776,False
8,0.0001,0.36363636363636365,0.2543691389599318,0.18828696925329436,0.44774590163934436,0.0,0.0,0.0,15,0.4,0.875,0.5490196078431373,16,0.2857142857142857,0.4444444444444444,0.34782608695652173,9,0.35294117647058826,0.4,0.375,15,0.0,0.0,0.0,11,0.5540108987779329,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7318424872323579,False
9,9.998052800596113e-05,0.5,0.4165584415584416,0.35562130177514784,0.6155339805825243,1.0,0.4,0.5714285714285714,15,0.5,0.875,0.6363636363636364,16,0.42857142857142855,0.3333333333333333,0.375,9,0.4,0.6666666666666666,0.5,15,0.0,0.0,0.0,11,0.5164538125197092,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.8176751333124498,False
10,9.992212734338192e-05,0.45454545454545453,0.3607881773399015,0.29766479456104045,0.6035120147874307,0.7142857142857143,0.6666666666666666,0.6896551724137931,15,0.42105263157894735,0.5,0.45714285714285713,16,0.16666666666666666,0.1111111111111111,0.13333333333333333,9,0.4074074074074074,0.7333333333333333,0.5238095238095238,15,0.0,0.0,0.0,11,0.4914707545078162,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.8661964871135412,False
