epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.24242424242424243,0.12987012987012986,0.008115419296663595,-0.002680965147453085,0.2222222222222222,0.4,0.2857142857142857,15,0.2564102564102564,0.625,0.36363636363636365,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.7262048634615812,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.693251365072587,True
2,3.25e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6865979071819421,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7152832667032878,False
3,4.375e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6564306723349023,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.736674783744064,False
4,5.4999999999999995e-05,0.24242424242424243,0.08205128205128205,0.008413461538461453,0.04331121201536858,0.0,0.0,0.0,15,0.25806451612903225,1.0,0.41025641025641024,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6396240880995085,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.73802344121185,False
5,6.625e-05,0.22727272727272727,0.1476923076923077,0.0882990249187432,0.07901413555636105,0.0,0.0,0.0,15,0.6,0.375,0.46153846153846156,16,0.16071428571428573,1.0,0.27692307692307694,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6338024495225965,0.3235294117647059,0.1,0.006353240152477846,0.04417670682730912,0.3333333333333333,1.0,0.5,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7789517743914736,False
6,7.75e-05,0.3333333333333333,0.19727891156462585,0.18882681564245807,0.27875313507703336,0.0,0.0,0.0,15,0.5,0.8125,0.6190476190476191,16,0.225,1.0,0.3673469387755102,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6170118068203782,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7573395581806407,False
7,8.875e-05,0.3939393939393939,0.2741515522421275,0.2546583850931676,0.3916521739130435,0.75,0.2,0.3157894736842105,15,0.5,0.875,0.6363636363636364,16,0.2647058823529412,1.0,0.4186046511627907,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.5514568471547329,0.17647058823529413,0.06,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.17647058823529413,1.0,0.3,6,0.8243460290572222,False
8,0.0001,0.5909090909090909,0.4920802005012531,0.4810716365754223,0.712877030162413,0.5555555555555556,1.0,0.7142857142857143,15,0.75,0.1875,0.3,16,0.6666666666666666,0.8888888888888888,0.7619047619047619,9,0.5652173913043478,0.8666666666666667,0.6842105263157895,15,0.0,0.0,0.0,11,0.4813579879023812,0.17647058823529413,0.06,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.17647058823529413,1.0,0.3,6,1.1119684142224928,False
9,9.995288696830197e-05,0.6212121212121212,0.5438893961132125,0.5158450704225352,0.7419635099913119,0.5384615384615384,0.9333333333333333,0.6829268292682927,15,0.6666666666666666,0.25,0.36363636363636365,16,1.0,0.8888888888888888,0.9411764705882353,9,0.5769230769230769,1.0,0.7317073170731707,15,0.0,0.0,0.0,11,0.40739763126228795,0.17647058823529413,0.06,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.17647058823529413,1.0,0.3,6,1.2398800662919587,False
10,9.98116375555414e-05,0.6363636363636364,0.5591173054587688,0.5361639824304538,0.7705013039698638,0.5384615384615384,0.9333333333333333,0.6829268292682927,15,0.8,0.25,0.38095238095238093,16,1.0,1.0,1.0,9,0.5769230769230769,1.0,0.7317073170731707,15,0.0,0.0,0.0,11,0.34337521737272086,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.9798751452389886,False
