epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_precision_c5,train_recall_c5,train_f1_c5,train_support_c5,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,val_loss,is_best
1,2.125e-05,0.2835820895522388,0.11656565656565658,0.037989829494466165,0.02384105960264893,0.3,0.25,0.2727272727272727,12,0.2807017543859649,0.8888888888888888,0.4266666666666667,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.8320940003466251,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6735736058215902,True
2,3.25e-05,0.26865671641791045,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,12,0.26865671641791045,1.0,0.4235294117647059,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.8074026236783213,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6514883584446377,False
3,4.375e-05,0.26865671641791045,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,12,0.26865671641791045,1.0,0.4235294117647059,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7710512065175754,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6512199906387715,False
4,5.4999999999999995e-05,0.22388059701492538,0.10725490196078431,-0.008977700550246048,0.013128402177393528,0.0,0.0,0.0,12,0.22,0.6111111111111112,0.3235294117647059,18,0.23529411764705882,0.5,0.32,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7397186012410406,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6743318612527366,False
5,6.625e-05,0.13432835820895522,0.05357989568515884,0.014455997971087986,0.012535998644756852,0.0,0.0,0.0,12,1.0,0.05555555555555555,0.10526315789473684,18,0.12121212121212122,1.0,0.21621621621621623,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7374108784234346,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6604127926055832,False
6,7.75e-05,0.11940298507462686,0.035555555555555556,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.11940298507462686,1.0,0.21333333333333335,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7315810815611882,0.3333333333333333,0.13535353535353534,0.1135531135531136,0.014625228519195566,0.2222222222222222,0.3333333333333333,0.26666666666666666,6,0.375,1.0,0.5454545454545454,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.676504499563063,True
7,8.875e-05,0.23880597014925373,0.1312169312169312,0.1085311766240542,0.14849498327759192,0.0,0.0,0.0,12,0.6666666666666666,0.4444444444444444,0.5333333333333333,18,0.14545454545454545,1.0,0.25396825396825395,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7006130453365952,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.651956420113342,False
8,0.0001,0.417910447761194,0.208091366627952,0.2298850574712643,0.4428055860662169,0.0,0.0,0.0,12,0.5,1.0,0.6666666666666666,18,0.16666666666666666,0.125,0.14285714285714285,8,0.36,0.5625,0.43902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.6376926171245859,0.15151515151515152,0.0462962962962963,-0.03355704697986561,-0.01491146318732528,0.16666666666666666,0.8333333333333334,0.2777777777777778,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6749103078938494,False
9,9.995288696830197e-05,0.5074626865671642,0.3005698005698006,0.35801393728222997,0.5443524541691307,0.0,0.0,0.0,12,0.5294117647058824,1.0,0.6923076923076923,18,0.0,0.0,0.0,8,0.6,0.75,0.6666666666666666,16,0.4444444444444444,0.4444444444444444,0.4444444444444444,9,0.0,0.0,0.0,4,0.5899040747044692,0.030303030303030304,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.030303030303030304,1.0,0.058823529411764705,1,0.952783100713383,False
10,9.98116375555414e-05,0.47761194029850745,0.3032663639152847,0.3271162123385939,0.5570566254670883,0.0,0.0,0.0,12,0.5142857142857142,1.0,0.6792452830188679,18,0.2,0.125,0.15384615384615385,8,0.6153846153846154,0.5,0.5517241379310345,16,0.35714285714285715,0.5555555555555556,0.43478260869565216,9,0.0,0.0,0.0,4,0.544773697675164,0.24242424242424243,0.11944444444444445,0.06036446469248291,0.17396745932415514,0.0,0.0,0.0,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.30434782608695654,1.0,0.4666666666666667,7,0.3333333333333333,0.2,0.25,5,0.0,0.0,0.0,1,0.6933140345294067,False
