epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.1791044776119403,0.09639934533551556,-0.07748538011695905,-0.04479727814006251,0.21212121212121213,0.3684210526315789,0.2692307692307692,19,0.14705882352941177,0.38461538461538464,0.2127659574468085,13,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.7472555781478313,0.21212121212121213,0.06999999999999999,0.0,0.0,0.21212121212121213,1.0,0.35,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7257483713554613,True
2,3.25e-05,0.19402985074626866,0.065,0.0,0.0,0.0,0.0,0.0,19,0.19402985074626866,1.0,0.325,13,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.7018345532132618,0.21212121212121213,0.06999999999999999,0.0,0.0,0.21212121212121213,1.0,0.35,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7008542489523839,False
3,4.375e-05,0.19402985074626866,0.065,0.0,0.0,0.0,0.0,0.0,19,0.19402985074626866,1.0,0.325,13,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6753101238563879,0.21212121212121213,0.06999999999999999,0.0,0.0,0.21212121212121213,1.0,0.35,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7031441426036333,False
4,5.4999999999999995e-05,0.14925373134328357,0.08156288156288156,-0.03608247422680422,-0.06384386371154482,0.0,0.0,0.0,19,0.16,0.6153846153846154,0.25396825396825395,13,0.11764705882352941,0.2222222222222222,0.15384615384615385,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6606710932148037,0.21212121212121213,0.06999999999999999,0.0,0.0,0.21212121212121213,1.0,0.35,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7183426736581205,False
5,6.625e-05,0.14925373134328357,0.08951486697965572,0.012157268494567885,0.013872441211300934,0.0,0.0,0.0,19,0.4,0.15384615384615385,0.2222222222222222,13,0.12903225806451613,0.8888888888888888,0.22535211267605634,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6580721157700268,0.21212121212121213,0.06999999999999999,0.0,0.0,0.21212121212121213,1.0,0.35,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7120141110034904,False
6,7.75e-05,0.14925373134328357,0.07531531531531532,0.015214027849406841,0.023720772619450936,0.0,0.0,0.0,19,0.5,0.07692307692307693,0.13333333333333333,13,0.13846153846153847,1.0,0.24324324324324326,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6467986508981506,0.18181818181818182,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.18181818181818182,1.0,0.3076923076923077,6,0.7522879265775584,False
7,8.875e-05,0.2835820895522388,0.16879432624113475,0.14239999999999997,0.3297765921973991,0.0,0.0,0.0,19,0.35294117647058826,0.9230769230769231,0.5106382978723404,13,0.21212121212121213,0.7777777777777778,0.3333333333333333,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.5994626360153085,0.18181818181818182,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.18181818181818182,1.0,0.3076923076923077,6,0.8574008402198252,False
8,0.0001,0.5671641791044776,0.5015037593984962,0.4476975554292212,0.7057101024890191,0.7058823529411765,0.631578947368421,0.6666666666666666,19,0.4666666666666667,0.5384615384615384,0.5,13,0.6666666666666666,0.8888888888888888,0.7619047619047619,9,0.4782608695652174,0.7333333333333333,0.5789473684210527,15,0.0,0.0,0.0,11,0.498697226794798,0.2727272727272727,0.15241935483870966,0.08860759493670889,0.19813084112149537,0.0,0.0,0.0,7,0.42857142857142855,0.3333333333333333,0.375,9,0.0,0.0,0.0,5,0.24,1.0,0.3870967741935484,6,0.0,0.0,0.0,6,0.7187658295486913,True
9,9.998052800596113e-05,0.6865671641791045,0.5851987171680266,0.5902737332556784,0.7947075208913649,0.7037037037037037,1.0,0.8260869565217391,19,0.8,0.3076923076923077,0.4444444444444444,13,1.0,0.8888888888888888,0.9411764705882353,9,0.5555555555555556,1.0,0.7142857142857143,15,0.0,0.0,0.0,11,0.42908715543462267,0.18181818181818182,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.18181818181818182,1.0,0.3076923076923077,6,1.156447783022216,False
10,9.992212734338192e-05,0.6716417910447762,0.5545238095238096,0.5697606538237011,0.787007601935038,0.6551724137931034,1.0,0.7916666666666666,19,1.0,0.15384615384615385,0.26666666666666666,13,1.0,1.0,1.0,9,0.5555555555555556,1.0,0.7142857142857143,15,0.0,0.0,0.0,11,0.37114326758171196,0.18181818181818182,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.18181818181818182,1.0,0.3076923076923077,6,1.2687980702429107,False
