epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_precision_c5,train_recall_c5,train_f1_c5,train_support_c5,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,val_loss,is_best
1,2.125e-05,0.26865671641791045,0.10846560846560845,0.026682478505781204,0.005991440798858716,0.2,0.25,0.2222222222222222,12,0.28846153846153844,0.8333333333333334,0.42857142857142855,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.8318948603388089,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6827554513709714,True
2,3.25e-05,0.26865671641791045,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,12,0.26865671641791045,1.0,0.4235294117647059,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.8071677501521893,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6577543110558481,False
3,4.375e-05,0.26865671641791045,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,12,0.26865671641791045,1.0,0.4235294117647059,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7711257918557124,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6544766131073537,False
4,5.4999999999999995e-05,0.208955223880597,0.10567765567765568,-0.01952339936836056,-0.0009638554216866435,0.0,0.0,0.0,12,0.19148936170212766,0.5,0.27692307692307694,18,0.25,0.625,0.35714285714285715,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7394270921821025,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6539726411453402,False
5,6.625e-05,0.13432835820895522,0.05357989568515884,0.014455997971087986,0.012535998644756852,0.0,0.0,0.0,12,1.0,0.05555555555555555,0.10526315789473684,18,0.12121212121212122,1.0,0.21621621621621623,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7380654714000758,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6836591846413083,False
6,7.75e-05,0.11940298507462686,0.035555555555555556,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.11940298507462686,1.0,0.21333333333333335,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7336667491428888,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.7031132958754145,False
7,8.875e-05,0.11940298507462686,0.0365296803652968,-0.0040640081280161056,0.003043625295908181,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.12307692307692308,1.0,0.2191780821917808,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.721379226001341,0.15151515151515152,0.0462962962962963,-0.04761904761904767,-0.014409221902017322,0.16666666666666666,0.8333333333333334,0.2777777777777778,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.669413933850298,False
8,0.0001,0.11940298507462686,0.035555555555555556,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.11940298507462686,1.0,0.21333333333333335,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7238230765755497,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6727032732481908,False
9,9.998052800596113e-05,0.29850746268656714,0.1847423918345904,0.14776725304465488,0.2767419038272817,0.0,0.0,0.0,12,0.5294117647058824,0.5,0.5142857142857142,18,0.1794871794871795,0.875,0.2978723404255319,8,0.36363636363636365,0.25,0.2962962962962963,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.6988804842109111,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6868078282385162,False
10,9.992212734338192e-05,0.582089552238806,0.38649538866930166,0.4535391785610253,0.6109413202933985,1.0,0.3333333333333333,0.5,12,0.6428571428571429,1.0,0.782608695652174,18,0.42857142857142855,0.375,0.4,8,0.5,0.875,0.6363636363636364,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.6196974841516409,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.7286211608636258,False
