epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_precision_c5,train_recall_c5,train_f1_c5,train_support_c5,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,val_loss,is_best
1,2.125e-05,0.24242424242424243,0.10076252723311546,0.0027198549410698547,0.005424954792043413,0.2,0.25,0.2222222222222222,12,0.2549019607843137,0.7647058823529411,0.38235294117647056,17,0.0,0.0,0.0,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.8492643610997633,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6855521688274309,True
2,3.25e-05,0.25757575757575757,0.06827309236947791,0.0,0.0,0.0,0.0,0.0,12,0.25757575757575757,1.0,0.40963855421686746,17,0.0,0.0,0.0,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.8283994694550832,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6683940681756712,False
3,4.375e-05,0.25757575757575757,0.06827309236947791,0.0,0.0,0.0,0.0,0.0,12,0.25757575757575757,1.0,0.40963855421686746,17,0.0,0.0,0.0,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.8032602171103159,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6605915399158702,False
4,5.4999999999999995e-05,0.22727272727272727,0.09047619047619049,-0.0017857142857142794,0.06550665301944725,0.0,0.0,0.0,12,0.2708333333333333,0.7647058823529411,0.4,17,0.1111111111111111,0.2,0.14285714285714285,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7757471536145065,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6604735855962716,False
5,6.625e-05,0.2727272727272727,0.13172541743970315,0.09666381522668954,0.18861959957850372,0.0,0.0,0.0,12,0.4444444444444444,0.7058823529411765,0.5454545454545454,17,0.15384615384615385,0.6,0.24489795918367346,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7665172725012808,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6608350092289494,False
6,7.75e-05,0.3181818181818182,0.13906633906633906,0.13284671532846715,0.24818778046254752,0.0,0.0,0.0,12,0.4473684210526316,1.0,0.6181818181818182,17,0.14814814814814814,0.4,0.21621621621621623,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7183773887879921,0.14705882352941177,0.04273504273504273,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.14705882352941177,1.0,0.2564102564102564,5,0.0,0.0,0.0,2,0.7223411403450312,False
7,8.875e-05,0.4090909090909091,0.2163093638647117,0.22679483328326822,0.4538232373386295,0.0,0.0,0.0,12,0.4722222222222222,1.0,0.6415094339622641,17,0.2857142857142857,0.2,0.23529411764705882,10,0.34782608695652173,0.5333333333333333,0.42105263157894735,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.6586155000961188,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.7562871283175898,False
8,0.0001,0.48484848484848486,0.32488344988344986,0.3337292161520189,0.584382871536524,0.0,0.0,0.0,12,0.4857142857142857,1.0,0.6538461538461539,17,0.3333333333333333,0.2,0.25,10,0.5,0.6,0.5454545454545454,15,0.5714285714285714,0.4444444444444444,0.5,9,0.0,0.0,0.0,3,0.6250475955731941,0.14705882352941177,0.04273504273504273,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.14705882352941177,1.0,0.2564102564102564,5,0.0,0.0,0.0,2,0.7459242745941761,False
9,9.998052800596113e-05,0.4696969696969697,0.3144341290893015,0.31898584905660377,0.5748466257668712,0.0,0.0,0.0,12,0.4857142857142857,1.0,0.6538461538461539,17,0.3333333333333333,0.2,0.25,10,0.5,0.4666666666666667,0.4827586206896552,15,0.45454545454545453,0.5555555555555556,0.5,9,0.0,0.0,0.0,3,0.5904662370681762,0.08823529411764706,0.027777777777777776,-0.004766444232602529,0.02423469387755084,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.09090909090909091,1.0,0.16666666666666666,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.7350822092271319,False
10,9.992212734338192e-05,0.5606060606060606,0.4053908718155543,0.43672748675691586,0.6627438835552802,0.0,0.0,0.0,12,0.5,1.0,0.6666666666666666,17,0.5,0.4,0.4444444444444444,10,0.7142857142857143,0.6666666666666666,0.6896551724137931,15,0.6,0.6666666666666666,0.631578947368421,9,0.0,0.0,0.0,3,0.543115987741586,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6805573958976596,False
11,9.982484395882215e-05,0.48484848484848486,0.33044000637512716,0.33883323512080143,0.6213953488372093,0.0,0.0,0.0,12,0.4722222222222222,1.0,0.6415094339622641,17,0.25,0.2,0.2222222222222222,10,0.6666666666666666,0.5333333333333333,0.5925925925925926,15,0.5,0.5555555555555556,0.5263157894736842,9,0.0,0.0,0.0,3,0.4977760733980121,0.08823529411764706,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.08823529411764706,1.0,0.16216216216216217,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.7880873434683856,False
12,9.96887543897155e-05,0.5606060606060606,0.40837606410085403,0.4358974358974359,0.691588785046729,1.0,0.08333333333333333,0.15384615384615385,12,0.53125,1.0,0.6938775510204082,17,0.5,0.4,0.4444444444444444,10,0.6470588235294118,0.7333333333333333,0.6875,15,0.5,0.4444444444444444,0.47058823529411764,9,0.0,0.0,0.0,3,0.4610929964166699,0.23529411764705882,0.06349206349206349,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.23529411764705882,1.0,0.38095238095238093,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.974436954423493,True
13,9.951396570415405e-05,0.6363636363636364,0.4875562303193883,0.5357561547479484,0.7459975369458128,1.0,0.08333333333333333,0.15384615384615385,12,0.5483870967741935,1.0,0.7083333333333334,17,0.6666666666666666,0.6,0.631578947368421,10,0.8,0.8,0.8,15,0.6,0.6666666666666666,0.631578947368421,9,0.0,0.0,0.0,3,0.4053558923078306,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.7035882998915279,False
14,9.930061541665266e-05,0.803030303030303,0.818245270129793,0.7521663778162911,0.867659696362074,1.0,0.5,0.6666666666666666,12,0.6538461538461539,1.0,0.7906976744186046,17,0.75,0.6,0.6666666666666666,10,0.9285714285714286,0.8666666666666667,0.896551724137931,15,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,1.0,1.0,1.0,3,0.3555321429715012,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,1.2009494557100184,False
