epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.22388059701492538,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,18,0.22388059701492538,1.0,0.36585365853658536,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.7398804652157115,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6769010441471832,True
2,3.25e-05,0.22388059701492538,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,18,0.22388059701492538,1.0,0.36585365853658536,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6952859648128054,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.711330136807278,False
3,4.375e-05,0.13432835820895522,0.048,-0.020215279600945157,-0.02263762647916301,0.0,0.0,0.0,18,0.0,0.0,0.0,15,0.13846153846153847,0.9,0.24,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6736587182354571,0.2727272727272727,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.2727272727272727,1.0,0.42857142857142855,9,0.0,0.0,0.0,5,0.7728603459969916,True
4,5.4999999999999995e-05,0.14925373134328357,0.051948051948051945,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,15,0.14925373134328357,1.0,0.2597402597402597,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.668049509890044,0.2727272727272727,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.2727272727272727,1.0,0.42857142857142855,9,0.0,0.0,0.0,5,0.8015275323631788,False
5,6.625e-05,0.14925373134328357,0.051948051948051945,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,15,0.14925373134328357,1.0,0.2597402597402597,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6603694043942352,0.2727272727272727,0.13093093093093094,0.022222222222222254,0.054844606946983565,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.2857142857142857,0.8888888888888888,0.43243243243243246,9,0.25,0.2,0.2222222222222222,5,0.7227161795803995,True
6,7.75e-05,0.3880597014925373,0.33605423605423607,0.24157923799006076,0.49178255372945634,0.4444444444444444,0.2222222222222222,0.2962962962962963,18,0.3333333333333333,0.4666666666666667,0.3888888888888889,15,0.37037037037037035,1.0,0.5405405405405406,10,0.5,0.4166666666666667,0.45454545454545453,12,0.0,0.0,0.0,12,0.5619294944983809,0.5454545454545454,0.4497682709447416,0.4237485448195576,0.7076771653543308,0.5714285714285714,1.0,0.7272727272727273,8,0.0,0.0,0.0,7,1.0,0.25,0.4,4,0.6666666666666666,0.4444444444444444,0.5333333333333333,9,0.4166666666666667,1.0,0.5882352941176471,5,0.3998869929951851,True
7,8.875e-05,0.582089552238806,0.5199147299879762,0.46825396825396826,0.7346534653465346,0.6086956521739131,0.7777777777777778,0.6829268292682927,18,0.5454545454545454,0.4,0.46153846153846156,15,1.0,0.7,0.8235294117647058,10,0.46153846153846156,1.0,0.631578947368421,12,0.0,0.0,0.0,12,0.4407580338307281,0.6666666666666666,0.580542264752791,0.5699052132701422,0.7583682008368201,0.5714285714285714,1.0,0.7272727272727273,8,0.0,0.0,0.0,7,1.0,0.5,0.6666666666666666,4,0.8,0.8888888888888888,0.8421052631578947,9,0.5714285714285714,0.8,0.6666666666666666,5,0.37164525774994284,True
8,0.0001,0.7611940298507462,0.7800231347599769,0.6970039570378745,0.8552524979746152,0.6363636363636364,0.7777777777777778,0.7,18,0.6363636363636364,0.4666666666666667,0.5384615384615384,15,1.0,0.9,0.9473684210526315,10,0.75,1.0,0.8571428571428571,12,1.0,0.75,0.8571428571428571,12,0.3260768921517614,0.6363636363636364,0.5621212121212121,0.5373831775700935,0.7501261988894498,0.5714285714285714,1.0,0.7272727272727273,8,0.0,0.0,0.0,7,1.0,0.5,0.6666666666666666,4,0.8571428571428571,0.6666666666666666,0.75,9,0.5,1.0,0.6666666666666666,5,0.3798924085317236,False
9,9.998052800596113e-05,0.8656716417910447,0.8871794871794872,0.829805249788315,0.919438877755511,0.7142857142857143,0.8333333333333334,0.7692307692307693,18,0.75,0.6,0.6666666666666666,15,1.0,1.0,1.0,10,1.0,1.0,1.0,12,1.0,1.0,1.0,12,0.2380060255027084,0.6060606060606061,0.5216450216450217,0.5023201856148491,0.728952772073922,0.5714285714285714,1.0,0.7272727272727273,8,0.0,0.0,0.0,7,0.5,0.5,0.5,4,0.8333333333333334,0.5555555555555556,0.6666666666666666,9,0.5555555555555556,1.0,0.7142857142857143,5,0.4144565325512579,False
10,9.992212734338192e-05,0.8507462686567164,0.873076923076923,0.8107344632768362,0.9108568387440128,0.6818181818181818,0.8333333333333334,0.75,18,0.7272727272727273,0.5333333333333333,0.6153846153846154,15,1.0,1.0,1.0,10,1.0,1.0,1.0,12,1.0,1.0,1.0,12,0.1836539224540787,0.6666666666666666,0.5954545454545455,0.5774155995343423,0.7738534528202425,0.5714285714285714,1.0,0.7272727272727273,8,0.0,0.0,0.0,7,0.6,0.75,0.6666666666666666,4,0.8571428571428571,0.6666666666666666,0.75,9,0.7142857142857143,1.0,0.8333333333333334,5,0.38402157433641454,True
