epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.22727272727272727,0.075,-0.0002971768202080227,0.0037119524870080634,0.23076923076923078,1.0,0.375,15,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.7476457845080983,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7012792713501874,True
2,3.25e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.7062589995788805,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.6982187088798074,False
3,4.375e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6710028727849324,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7250859290945764,False
4,5.4999999999999995e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6524346174615803,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7612167996518752,False
5,6.625e-05,0.2727272727272727,0.1519125683060109,0.08093994778067881,0.09013785790031825,0.0,0.0,0.0,15,0.28888888888888886,0.8125,0.4262295081967213,16,0.23809523809523808,0.5555555555555556,0.3333333333333333,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.64309180541472,0.4117647058823529,0.21010101010101012,0.19239904988123513,0.4159132007233274,0.45454545454545453,0.9090909090909091,0.6060606060606061,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.3333333333333333,0.6666666666666666,0.4444444444444444,6,0.8035213867823283,True
6,7.75e-05,0.15151515151515152,0.07217806041335453,0.015712383488681758,0.012769062385990515,0.0,0.0,0.0,15,1.0,0.0625,0.11764705882352941,16,0.13846153846153847,1.0,0.24324324324324326,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.630469805544073,0.17647058823529413,0.11844155844155843,0.0,0.037735849056603765,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.13793103448275862,0.6666666666666666,0.22857142857142856,6,0.4,0.3333333333333333,0.36363636363636365,6,0.8406911361451243,False
7,8.875e-05,0.15151515151515152,0.0715372907153729,0.0138740661686233,0.0014582573824279965,0.0,0.0,0.0,15,0.5,0.0625,0.1111111111111111,16,0.140625,1.0,0.2465753424657534,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6207005800622882,0.14705882352941177,0.11944444444444444,-0.023883696780893082,0.019586507072905213,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.09090909090909091,0.2,0.125,5,0.14285714285714285,0.5,0.2222222222222222,6,0.5,0.16666666666666666,0.25,6,0.8339688686763539,False
8,0.0001,0.21212121212121213,0.13075268817204302,0.061525840853158265,0.07042253521126762,0.0,0.0,0.0,15,0.4,0.375,0.3870967741935484,16,0.1568627450980392,0.8888888888888888,0.26666666666666666,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.5859805318442258,0.29411764705882354,0.247991452991453,0.13191489361702136,0.20467836257309946,0.5,0.18181818181818182,0.26666666666666666,11,0.0,0.0,0.0,6,0.125,0.2,0.15384615384615385,5,0.3333333333333333,0.6666666666666666,0.4444444444444444,6,0.3,0.5,0.375,6,0.8054206093152364,False
9,9.995288696830197e-05,0.3787878787878788,0.21632653061224488,0.23364485981308414,0.3176470588235294,0.0,0.0,0.0,15,0.48484848484848486,1.0,0.6530612244897959,16,0.2727272727272727,1.0,0.42857142857142855,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.5173653575507078,0.5294117647058824,0.4133333333333334,0.3901345291479821,0.6547388781431334,0.7692307692307693,0.9090909090909091,0.8333333333333334,11,0.0,0.0,0.0,6,0.2,0.2,0.2,5,0.5,0.5,0.5,6,0.4444444444444444,0.6666666666666666,0.5333333333333333,6,0.5905429053540323,True
10,9.98116375555414e-05,0.5,0.43862937062937063,0.37664567830566686,0.5830903790087463,0.8,0.5333333333333333,0.64,15,0.5833333333333334,0.875,0.7,16,0.375,1.0,0.5454545454545454,9,0.0,0.0,0.0,15,1.0,0.18181818181818182,0.3076923076923077,11,0.40534276871970204,0.5588235294117647,0.47640692640692645,0.42889137737961924,0.6811451135241855,0.7692307692307693,0.9090909090909091,0.8333333333333334,11,0.5,0.16666666666666666,0.25,6,0.16666666666666666,0.2,0.18181818181818182,5,0.6,0.5,0.5454545454545454,6,0.5,0.6666666666666666,0.5714285714285714,6,0.5133002399229536,True
