epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_precision_c5,train_recall_c5,train_f1_c5,train_support_c5,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,val_loss,is_best
1,2.125e-05,0.1791044776119403,0.05063291139240506,0.0,0.0,0.1791044776119403,1.0,0.3037974683544304,12,0.0,0.0,0.0,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.859808914519068,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6810601498141433,True
2,3.25e-05,0.208955223880597,0.08846268212905144,-0.032567606862460075,-0.029667245757049487,0.11538461538461539,0.25,0.15789473684210525,12,0.2682926829268293,0.6111111111111112,0.3728813559322034,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.8165964982402858,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6573669232503332,False
3,4.375e-05,0.26865671641791045,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,12,0.26865671641791045,1.0,0.4235294117647059,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7815231531413633,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6601558131400985,False
4,5.4999999999999995e-05,0.26865671641791045,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,12,0.26865671641791045,1.0,0.4235294117647059,18,0.0,0.0,0.0,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7628496029483738,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6775169835548208,False
5,6.625e-05,0.23880597014925373,0.10228825136612023,0.03008799318762423,0.081006938841375,0.0,0.0,0.0,12,0.3023255813953488,0.7222222222222222,0.4262295081967213,18,0.125,0.375,0.1875,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7363021347060132,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.7032249689102172,False
6,7.75e-05,0.11940298507462686,0.036036036036036036,-0.002536139994927744,-0.010164323225478666,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.12121212121212122,1.0,0.21621621621621623,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7266911746850654,0.15151515151515152,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.15151515151515152,1.0,0.2631578947368421,5,0.0,0.0,0.0,1,0.7284236140925475,False
7,8.875e-05,0.11940298507462686,0.035555555555555556,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.11940298507462686,1.0,0.21333333333333335,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7276784496520883,0.15151515151515152,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.15151515151515152,1.0,0.2631578947368421,5,0.0,0.0,0.0,1,0.7386518914892216,False
8,0.0001,0.11940298507462686,0.035555555555555556,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.11940298507462686,1.0,0.21333333333333335,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.7153566191445536,0.15151515151515152,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.15151515151515152,1.0,0.2631578947368421,5,0.0,0.0,0.0,1,0.7658307289836382,False
9,9.995288696830197e-05,0.11940298507462686,0.04801536491677336,-0.01022233580373122,0.027346387575962305,0.0,0.0,0.0,12,0.25,0.05555555555555555,0.09090909090909091,18,0.1111111111111111,0.875,0.19718309859154928,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.6839838090227611,0.21212121212121213,0.12457912457912457,0.06637649619151254,0.13628158844765348,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.17857142857142858,1.0,0.30303030303030304,5,0.0,0.0,0.0,1,0.6950727202073492,True
10,9.98116375555414e-05,0.19402985074626866,0.10042735042735042,0.029246042393345828,0.21514601550899193,0.0,0.0,0.0,12,0.38095238095238093,0.4444444444444444,0.41025641025641024,18,0.11363636363636363,0.625,0.19230769230769232,8,0.0,0.0,0.0,16,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.6074213983407661,0.5454545454545454,0.5473748473748473,0.4475446428571429,0.6769706336939723,0.5,0.6666666666666666,0.5714285714285714,6,1.0,0.4444444444444444,0.6153846153846154,9,0.2,0.2,0.2,5,0.5,0.42857142857142855,0.46153846153846156,7,0.625,1.0,0.7692307692307693,5,0.5,1.0,0.6666666666666666,1,0.566270916269283,True
11,9.957652063800361e-05,0.29850746268656714,0.16734006734006734,0.09874069834001153,0.4048223350253809,0.0,0.0,0.0,12,0.43243243243243246,0.8888888888888888,0.5818181818181818,18,0.0,0.0,0.0,8,0.2727272727272727,0.1875,0.2222222222222222,16,1.0,0.1111111111111111,0.2,9,0.0,0.0,0.0,4,0.5101300396136383,0.5757575757575758,0.45807701070858964,0.467741935483871,0.7371216144450345,0.5,0.6666666666666666,0.5714285714285714,6,0.6,0.6666666666666666,0.631578947368421,9,1.0,0.2,0.3333333333333333,5,0.75,0.42857142857142855,0.5454545454545454,7,0.5,1.0,0.6666666666666666,5,0.0,0.0,0.0,1,0.4973551914246395,True
12,9.92479837741043e-05,0.43283582089552236,0.29380011113757243,0.267338129496403,0.5472293137107673,0.0,0.0,0.0,12,0.46153846153846156,1.0,0.631578947368421,18,0.0,0.0,0.0,8,0.4,0.25,0.3076923076923077,16,0.875,0.7777777777777778,0.8235294117647058,9,0.0,0.0,0.0,4,0.41923123962843595,0.6060606060606061,0.499028749028749,0.5085910652920962,0.7510775862068966,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,0.6666666666666666,0.4,0.5,5,0.75,0.42857142857142855,0.5454545454545454,7,0.5,1.0,0.6666666666666666,5,0.0,0.0,0.0,1,0.4718889370711163,True
13,9.88266523524367e-05,0.6268656716417911,0.5301358234295416,0.5151953690303908,0.7554744525547445,0.0,0.0,0.0,12,0.47368421052631576,1.0,0.6428571428571429,18,0.0,0.0,0.0,8,0.8666666666666667,0.8125,0.8387096774193549,16,0.8,0.8888888888888888,0.8421052631578947,9,1.0,0.75,0.8571428571428571,4,0.34910612595615104,0.5757575757575758,0.45335775335775336,0.4646581691772885,0.7311243889190657,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,0.6363636363636364,0.7777777777777778,0.7,9,1.0,0.2,0.3333333333333333,5,0.6,0.42857142857142855,0.5,7,0.4444444444444444,0.8,0.5714285714285714,5,0.0,0.0,0.0,1,0.44172173109319474,False
14,9.831332840130888e-05,0.7164179104477612,0.679020979020979,0.6358695652173914,0.8163377192982456,0.6666666666666666,0.16666666666666666,0.26666666666666666,12,0.5294117647058824,1.0,0.6923076923076923,18,0.3333333333333333,0.125,0.18181818181818182,8,1.0,0.875,0.9333333333333333,16,1.0,1.0,1.0,9,1.0,1.0,1.0,4,0.3061355174477421,0.5151515151515151,0.42936507936507934,0.4013605442176871,0.6789189189189189,0.5,0.6666666666666666,0.5714285714285714,6,0.6666666666666666,0.4444444444444444,0.5333333333333333,9,0.4,0.4,0.4,5,0.6,0.42857142857142855,0.5,7,0.4444444444444444,0.8,0.5714285714285714,5,0.0,0.0,0.0,1,0.44696386756017953,False
15,9.770898906203723e-05,0.746268656716418,0.6954248366013073,0.6736389684813754,0.8257834952785,0.6666666666666666,0.16666666666666666,0.26666666666666666,12,0.5454545454545454,1.0,0.7058823529411765,18,0.5,0.125,0.2,8,1.0,1.0,1.0,16,1.0,1.0,1.0,9,1.0,1.0,1.0,4,0.25985061019214234,0.5454545454545454,0.41785714285714276,0.4217289719626168,0.6933797909407665,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.6666666666666666,0.8888888888888888,0.7619047619047619,9,0.3333333333333333,0.2,0.25,5,0.42857142857142855,0.42857142857142855,0.42857142857142855,7,0.4,0.4,0.4,5,0.0,0.0,0.0,1,0.46945915014454814,False
16,9.701478472890247e-05,0.7761194029850746,0.7354684095860566,0.7121993127147767,0.8551351351351351,0.8,0.3333333333333333,0.47058823529411764,12,0.5625,1.0,0.72,18,1.0,0.125,0.2222222222222222,8,1.0,1.0,1.0,16,1.0,1.0,1.0,9,1.0,1.0,1.0,4,0.22971790166043524,0.42424242424242425,0.34961519961519966,0.2850627137970354,0.5860889395667047,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.5714285714285714,0.4444444444444444,0.5,9,0.16666666666666666,0.2,0.18181818181818182,5,0.375,0.42857142857142855,0.4,7,0.4444444444444444,0.8,0.5714285714285714,5,0.0,0.0,0.0,1,0.5288802906118258,False
17,9.623203685930869e-05,0.8208955223880597,0.7995893990294887,0.7712009106431417,0.8835405802914829,0.8571428571428571,0.5,0.631578947368421,12,0.6206896551724138,1.0,0.7659574468085106,18,1.0,0.25,0.4,8,1.0,1.0,1.0,16,1.0,1.0,1.0,9,1.0,1.0,1.0,4,0.2146709878498049,0.6060606060606061,0.503556166056166,0.5097142857142858,0.7229994404029099,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,0.7142857142857143,0.5555555555555556,0.625,9,0.4,0.4,0.4,5,0.7142857142857143,0.7142857142857143,0.7142857142857143,7,0.5714285714285714,0.8,0.6666666666666666,5,0.0,0.0,0.0,1,0.48171659781776294,False
18,9.536223545831418e-05,0.9104477611940298,0.9185910707649838,0.8876467300167692,0.938475665748393,0.8181818181818182,0.75,0.782608695652174,12,0.8095238095238095,0.9444444444444444,0.8717948717948718,18,1.0,0.75,0.8571428571428571,8,1.0,1.0,1.0,16,1.0,1.0,1.0,9,1.0,1.0,1.0,4,0.19086096242292602,0.6060606060606061,0.48636039886039883,0.5028968713789107,0.7173043974871502,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,0.6666666666666666,0.4,0.5,5,0.5555555555555556,0.7142857142857143,0.625,7,0.4,0.4,0.4,5,0.0,0.0,0.0,1,0.4487179891780169,False
19,9.440703624232198e-05,0.9253731343283582,0.9231326644370123,0.906109865470852,0.9473132372214941,0.9090909090909091,0.8333333333333334,0.8695652173913043,12,0.8181818181818182,1.0,0.9,18,1.0,0.625,0.7692307692307693,8,1.0,1.0,1.0,16,1.0,1.0,1.0,9,1.0,1.0,1.0,4,0.16678125538043123,0.5757575757575758,0.44861111111111107,0.46341463414634143,0.7248471372984991,0.5555555555555556,0.8333333333333334,0.6666666666666666,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,1.0,0.2,0.3333333333333333,5,0.5555555555555556,0.7142857142857143,0.625,7,0.4,0.4,0.4,5,0.0,0.0,0.0,1,0.4298402784749715,False
