epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.21212121212121213,0.0891005291005291,-0.03623188405797095,-0.03692905733722052,0.08333333333333333,0.06666666666666667,0.07407407407407407,15,0.24074074074074073,0.8125,0.37142857142857144,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.7261181668801742,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.6973962956783818,True
2,3.25e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6868218855424361,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7162381102057064,False
3,4.375e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6561810715632005,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7553906746939116,False
4,5.4999999999999995e-05,0.22727272727272727,0.09887323943661971,0.0032573289902280145,0.027027027027026973,0.0,0.0,0.0,15,0.2545454545454545,0.875,0.39436619718309857,16,0.09090909090909091,0.1111111111111111,0.1,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6410069306691487,0.29411764705882354,0.1411764705882353,0.02508960573476704,0.038321167883211604,0.34782608695652173,0.7272727272727273,0.47058823529411764,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.794453495390275,False
5,6.625e-05,0.15151515151515152,0.0715372907153729,0.0138740661686233,0.02551950419249005,0.0,0.0,0.0,15,0.5,0.0625,0.1111111111111111,16,0.140625,1.0,0.2465753424657534,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6378381091536898,0.17647058823529413,0.06,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.17647058823529413,1.0,0.3,6,0.8375011514214908,False
6,7.75e-05,0.13636363636363635,0.048,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,16,0.13636363636363635,1.0,0.24,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6358438885573184,0.17647058823529413,0.10606060606060605,0.0,0.03546099290780147,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.1111111111111111,0.3333333333333333,0.16666666666666666,6,0.25,0.6666666666666666,0.36363636363636365,6,0.851009325653899,False
7,8.875e-05,0.21212121212121213,0.12703003337041158,0.06510487605557069,0.1406871609403254,0.0,0.0,0.0,15,0.38461538461538464,0.3125,0.3448275862068966,16,0.16981132075471697,1.0,0.2903225806451613,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6242124058983543,0.47058823529411764,0.34313186813186813,0.3021664766248574,0.5718283582089552,0.6666666666666666,0.9090909090909091,0.7692307692307693,11,1.0,0.16666666666666666,0.2857142857142857,6,0.0,0.0,0.0,5,0.25,0.3333333333333333,0.2857142857142857,6,0.3,0.5,0.375,6,0.6781455082051894,True
8,0.0001,0.42424242424242425,0.304295092911984,0.2919254658385093,0.41460869565217395,1.0,0.26666666666666666,0.42105263157894735,15,0.5357142857142857,0.9375,0.6818181818181818,16,0.2647058823529412,1.0,0.4186046511627907,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.543597939158931,0.5882352941176471,0.46561302681992334,0.4503464203233256,0.7201646090534979,0.6111111111111112,1.0,0.7586206896551724,11,0.0,0.0,0.0,6,0.5,0.4,0.4444444444444444,5,0.5,0.8333333333333334,0.625,6,1.0,0.3333333333333333,0.5,6,0.43024166822433474,True
9,9.995288696830197e-05,0.5606060606060606,0.4683557007818882,0.4436046511627907,0.691948658109685,0.5384615384615384,0.9333333333333333,0.6829268292682927,15,0.75,0.1875,0.3,16,0.6153846153846154,0.8888888888888888,0.7272727272727273,9,0.5217391304347826,0.8,0.631578947368421,15,0.0,0.0,0.0,11,0.45648386333927965,0.6470588235294118,0.5368518518518519,0.5342465753424658,0.7943548387096775,0.6875,1.0,0.8148148148148148,11,0.0,0.0,0.0,6,0.5,0.4,0.4444444444444444,5,0.5,0.8333333333333334,0.625,6,1.0,0.6666666666666666,0.8,6,0.389988892919877,True
10,9.98116375555414e-05,0.5757575757575758,0.5053925554609549,0.4577464788732394,0.7207470090458126,0.5,0.8,0.6153846153846154,15,0.5,0.1875,0.2727272727272727,16,1.0,0.8888888888888888,0.9411764705882353,9,0.5357142857142857,1.0,0.6976744186046512,15,0.0,0.0,0.0,11,0.39474669098854065,0.7058823529411765,0.6112746512746513,0.6127562642369021,0.8268839103869654,0.6875,1.0,0.8148148148148148,11,0.0,0.0,0.0,6,0.6666666666666666,0.8,0.7272727272727273,5,0.625,0.8333333333333334,0.7142857142857143,6,1.0,0.6666666666666666,0.8,6,0.3604955592576195,True
