epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.21212121212121213,0.0891005291005291,-0.03623188405797095,-0.03692905733722052,0.08333333333333333,0.06666666666666667,0.07407407407407407,15,0.24074074074074073,0.8125,0.37142857142857144,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.7261185031948667,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.6973969742363575,True
2,3.25e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.686824344143723,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7162345495878482,False
3,4.375e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.656183806513295,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7553820093472798,False
4,5.4999999999999995e-05,0.22727272727272727,0.09904761904761905,0.005319148936170248,0.037934668071654354,0.0,0.0,0.0,15,0.25925925925925924,0.875,0.4,16,0.08333333333333333,0.1111111111111111,0.09523809523809523,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.641014344403238,0.29411764705882354,0.1411764705882353,0.02508960573476704,0.038321167883211604,0.34782608695652173,0.7272727272727273,0.47058823529411764,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.7944326690599031,False
5,6.625e-05,0.16666666666666666,0.09210526315789473,0.02967121090617475,0.03825136612021851,0.0,0.0,0.0,15,0.6666666666666666,0.125,0.21052631578947367,16,0.14285714285714285,1.0,0.25,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6378455299319643,0.17647058823529413,0.06,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.17647058823529413,1.0,0.3,6,0.8376300919289682,False
6,7.75e-05,0.13636363636363635,0.048,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,16,0.13636363636363635,1.0,0.24,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6358286290457754,0.17647058823529413,0.10434782608695652,0.0,0.02985074626865669,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.11764705882352941,0.3333333333333333,0.17391304347826086,6,0.23529411764705882,0.6666666666666666,0.34782608695652173,6,0.8511178264430925,False
7,8.875e-05,0.22727272727272727,0.13901639344262295,0.08133187772925765,0.15323455005421027,0.0,0.0,0.0,15,0.42857142857142855,0.375,0.4,16,0.17307692307692307,1.0,0.29508196721311475,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6241504885933616,0.47058823529411764,0.34313186813186813,0.3021664766248574,0.5718283582089552,0.6666666666666666,0.9090909090909091,0.7692307692307693,11,1.0,0.16666666666666666,0.2857142857142857,6,0.0,0.0,0.0,5,0.25,0.3333333333333333,0.2857142857142857,6,0.3,0.5,0.375,6,0.6785333364617591,True
8,0.0001,0.4393939393939394,0.32325581395348835,0.310753598645216,0.429657794676806,1.0,0.3333333333333333,0.5,15,0.5555555555555556,0.9375,0.6976744186046512,16,0.2647058823529412,1.0,0.4186046511627907,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.5433506600784533,0.5882352941176471,0.46561302681992334,0.4503464203233256,0.7201646090534979,0.6111111111111112,1.0,0.7586206896551724,11,0.0,0.0,0.0,6,0.5,0.4,0.4444444444444444,5,0.5,0.8333333333333334,0.625,6,1.0,0.3333333333333333,0.5,6,0.4302743766822067,True
9,9.995288696830197e-05,0.5606060606060606,0.4683557007818882,0.4436046511627907,0.691948658109685,0.5384615384615384,0.9333333333333333,0.6829268292682927,15,0.75,0.1875,0.3,16,0.6153846153846154,0.8888888888888888,0.7272727272727273,9,0.5217391304347826,0.8,0.631578947368421,15,0.0,0.0,0.0,11,0.45628920956091445,0.6470588235294118,0.5368518518518519,0.5342465753424658,0.7943548387096775,0.6875,1.0,0.8148148148148148,11,0.0,0.0,0.0,6,0.5,0.4,0.4444444444444444,5,0.5,0.8333333333333334,0.625,6,1.0,0.6666666666666666,0.8,6,0.3901014481105056,True
10,9.98116375555414e-05,0.5757575757575758,0.5053925554609549,0.4577464788732394,0.7207470090458126,0.5,0.8,0.6153846153846154,15,0.5,0.1875,0.2727272727272727,16,1.0,0.8888888888888888,0.9411764705882353,9,0.5357142857142857,1.0,0.6976744186046512,15,0.0,0.0,0.0,11,0.39454409353660813,0.7058823529411765,0.6112746512746513,0.6127562642369021,0.8268839103869654,0.6875,1.0,0.8148148148148148,11,0.0,0.0,0.0,6,0.6666666666666666,0.8,0.7272727272727273,5,0.625,0.8333333333333334,0.7142857142857143,6,1.0,0.6666666666666666,0.8,6,0.36063869735773874,True
11,9.957652063800361e-05,0.7272727272727273,0.7253808840609415,0.6545507414946206,0.8342171364778119,0.5384615384615384,0.9333333333333333,0.6829268292682927,15,0.8,0.25,0.38095238095238093,16,1.0,1.0,1.0,9,0.75,1.0,0.8571428571428571,15,1.0,0.5454545454545454,0.7058823529411765,11,0.3188602350877993,0.5882352941176471,0.4997069597069597,0.46335963923337087,0.7269807280513918,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.16666666666666666,0.2857142857142857,6,0.4,0.8,0.5333333333333333,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,1.0,0.3333333333333333,0.5,6,0.3671211782039381,False
12,9.92479837741043e-05,0.803030303030303,0.807264938959092,0.7523094688221709,0.8850790249129387,0.5555555555555556,1.0,0.7142857142857143,15,1.0,0.25,0.4,16,1.0,1.0,1.0,9,1.0,0.9333333333333333,0.9655172413793104,15,0.9166666666666666,1.0,0.9565217391304348,11,0.2759778538436601,0.6470588235294118,0.5334175084175085,0.5337142857142857,0.7976190476190477,0.6875,1.0,0.8148148148148148,11,0.0,0.0,0.0,6,0.6666666666666666,0.4,0.5,5,0.5,0.8333333333333334,0.625,6,0.8,0.6666666666666666,0.7272727272727273,6,0.3906982749116187,False
13,9.88266523524367e-05,0.8333333333333334,0.8484428838212473,0.7901734104046243,0.9008467631794592,0.6086956521739131,0.9333333333333333,0.7368421052631579,15,0.875,0.4375,0.5833333333333334,16,1.0,1.0,1.0,9,1.0,0.9333333333333333,0.9655172413793104,15,0.9166666666666666,1.0,0.9565217391304348,11,0.230010795954502,0.6176470588235294,0.5091575091575091,0.4971558589306029,0.7735490009514748,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.16666666666666666,0.2857142857142857,6,0.5,0.2,0.2857142857142857,5,0.42857142857142855,0.5,0.46153846153846156,6,0.5555555555555556,0.8333333333333334,0.6666666666666666,6,0.48872931304515577,False
14,9.831332840130888e-05,0.8181818181818182,0.8309090909090908,0.7709658762290341,0.8922448979591837,0.56,0.9333333333333333,0.7,15,0.8333333333333334,0.3125,0.45454545454545453,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.20115421495654368,0.6176470588235294,0.5132600732600732,0.4971558589306029,0.7687074829931972,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.16666666666666666,0.2857142857142857,6,0.5,0.2,0.2857142857142857,5,0.4444444444444444,0.6666666666666666,0.5333333333333333,6,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,0.41540893164335513,False
15,9.770898906203723e-05,0.8333333333333334,0.8479375696767001,0.7899913219554526,0.9007383100902379,0.5833333333333334,0.9333333333333333,0.717948717948718,15,0.8571428571428571,0.375,0.5217391304347826,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.1751173236604893,0.7058823529411765,0.6230769230769231,0.6136363636363636,0.8173828125,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.16666666666666666,0.2857142857142857,6,0.6666666666666666,0.4,0.5,5,0.625,0.8333333333333334,0.7142857142857143,6,0.7142857142857143,0.8333333333333334,0.7692307692307693,6,0.43332465963036404,False
16,9.701478472890247e-05,0.8181818181818182,0.8309090909090908,0.7709658762290341,0.8922448979591837,0.56,0.9333333333333333,0.7,15,0.8333333333333334,0.3125,0.45454545454545453,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.1517377678192023,0.7058823529411765,0.6230769230769231,0.6136363636363636,0.8173828125,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.16666666666666666,0.2857142857142857,6,0.6666666666666666,0.4,0.5,5,0.625,0.8333333333333334,0.7142857142857143,6,0.7142857142857143,0.8333333333333334,0.7692307692307693,6,0.4423099042738185,False
17,9.623203685930869e-05,0.8333333333333334,0.8415795586527294,0.790112749349523,0.9017059301380991,0.5769230769230769,1.0,0.7317073170731707,15,1.0,0.3125,0.47619047619047616,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.1392776541637652,0.7058823529411765,0.631094831094831,0.610983981693364,0.8184466019417476,0.6875,1.0,0.8148148148148148,11,1.0,0.16666666666666666,0.2857142857142857,6,1.0,0.4,0.5714285714285714,5,0.625,0.8333333333333334,0.7142857142857143,6,0.7142857142857143,0.8333333333333334,0.7692307692307693,6,0.46516681694078676,False
18,9.536223545831418e-05,0.8636363636363636,0.8755852842809364,0.8281747179635522,0.918785890073831,0.625,1.0,0.7692307692307693,15,1.0,0.4375,0.6086956521739131,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.12593763547413278,0.6470588235294118,0.5466180877945584,0.5358361774744027,0.7974180734856008,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.16666666666666666,0.2857142857142857,6,0.5,0.2,0.2857142857142857,5,0.45454545454545453,0.8333333333333334,0.5882352941176471,6,0.8,0.6666666666666666,0.7272727272727273,6,0.4970037115518661,False
19,9.440703624232198e-05,0.8333333333333334,0.8415795586527294,0.790112749349523,0.9017059301380991,0.5769230769230769,1.0,0.7317073170731707,15,1.0,0.3125,0.47619047619047616,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.11027605246865388,0.7352941176470589,0.6802197802197802,0.6518771331058021,0.833984375,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.3333333333333333,0.5,6,1.0,0.4,0.5714285714285714,5,0.625,0.8333333333333334,0.7142857142857143,6,0.7142857142857143,0.8333333333333334,0.7692307692307693,6,0.4818294280610394,True
20,9.336825748732972e-05,0.8636363636363636,0.8755852842809364,0.8281747179635522,0.918785890073831,0.625,1.0,0.7692307692307693,15,1.0,0.4375,0.6086956521739131,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.10240546821644812,0.7058823529411765,0.6601398601398601,0.6149490373725934,0.8268839103869654,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.3333333333333333,0.5,6,0.6666666666666666,0.8,0.7272727272727273,5,0.5,0.5,0.5,6,0.8,0.6666666666666666,0.7272727272727273,6,0.48187210555827503,False
21,9.224787656773784e-05,0.8636363636363636,0.8755852842809364,0.8281747179635522,0.918785890073831,0.625,1.0,0.7692307692307693,15,1.0,0.4375,0.6086956521739131,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.09266735367251165,0.6764705882352942,0.5930402930402929,0.575,0.7986179664363278,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.16666666666666666,0.2857142857142857,6,0.6666666666666666,0.4,0.5,5,0.5555555555555556,0.8333333333333334,0.6666666666666666,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.5279050482692672,False
22,9.10480261923051e-05,0.8787878787878788,0.8912280701754387,0.8472222222222222,0.9274525968672712,0.6521739130434783,1.0,0.7894736842105263,15,1.0,0.5,0.6666666666666666,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.08667215445276463,0.7058823529411765,0.6543333333333333,0.6162528216704288,0.826530612244898,0.7857142857142857,1.0,0.88,11,1.0,0.3333333333333333,0.5,6,0.75,0.6,0.6666666666666666,5,0.5,0.8333333333333334,0.625,6,0.75,0.5,0.6,6,0.5398670732491083,False
23,8.977099034441616e-05,0.8636363636363636,0.8755852842809364,0.8281747179635522,0.918785890073831,0.625,1.0,0.7692307692307693,15,1.0,0.4375,0.6086956521739131,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.07958827892487699,0.7647058823529411,0.7243116883116884,0.693348365276212,0.8620689655172413,0.7857142857142857,1.0,0.88,11,1.0,0.3333333333333333,0.5,6,0.8,0.8,0.8,5,0.625,0.8333333333333334,0.7142857142857143,6,0.8,0.6666666666666666,0.7272727272727273,6,0.5155486268648768,True
24,8.841919993438942e-05,0.9242424242424242,0.9343915343915343,0.9044309296264118,0.9539748953974896,0.75,1.0,0.8571428571428571,15,1.0,0.6875,0.8148148148148148,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.07457302884396279,0.7352941176470589,0.6881212121212121,0.654627539503386,0.8456104944500504,0.7857142857142857,1.0,0.88,11,1.0,0.3333333333333333,0.5,6,0.75,0.6,0.6666666666666666,5,0.5555555555555556,0.8333333333333334,0.6666666666666666,6,0.8,0.6666666666666666,0.7272727272727273,6,0.5382906841566129,False
25,8.699522817210116e-05,0.9545454545454546,0.9611285266457681,0.942625325992466,0.9721048182586645,0.8333333333333334,1.0,0.9090909090909091,15,1.0,0.8125,0.896551724137931,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.06843657736299616,0.7058823529411765,0.6426666666666666,0.615819209039548,0.814299900695134,0.7857142857142857,1.0,0.88,11,1.0,0.3333333333333333,0.5,6,0.6666666666666666,0.4,0.5,5,0.5555555555555556,0.8333333333333334,0.6666666666666666,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.545110842560911,False
26,8.550178566873411e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,1.0,1.0,1.0,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.05479215568665302,0.6764705882352942,0.5962444614209319,0.5769230769230769,0.8131868131868132,0.7857142857142857,1.0,0.88,11,1.0,0.3333333333333333,0.5,6,0.5,0.2,0.2857142857142857,5,0.45454545454545453,0.8333333333333334,0.5882352941176471,6,0.8,0.6666666666666666,0.7272727272727273,6,0.578605934628742,False
