epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_precision_c5,train_recall_c5,train_f1_c5,train_support_c5,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,val_loss,is_best
1,2.125e-05,0.2727272727272727,0.09210526315789473,0.030896298562251512,-0.005714285714285783,0.14285714285714285,0.08333333333333333,0.10526315789473684,12,0.288135593220339,1.0,0.4473684210526316,17,0.0,0.0,0.0,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.8475246517947226,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6846237301826477,True
2,3.25e-05,0.25757575757575757,0.06827309236947791,0.0,0.0,0.0,0.0,0.0,12,0.25757575757575757,1.0,0.40963855421686746,17,0.0,0.0,0.0,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.8339432163672014,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6675870977196039,False
3,4.375e-05,0.25757575757575757,0.06827309236947791,0.0,0.0,0.0,0.0,0.0,12,0.25757575757575757,1.0,0.40963855421686746,17,0.0,0.0,0.0,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.806837825161038,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.6771282965061711,False
4,5.4999999999999995e-05,0.21212121212121213,0.07605820105820106,-0.03654485049833878,0.01858736059479571,0.0,0.0,0.0,12,0.23636363636363636,0.7647058823529411,0.3611111111111111,17,0.09090909090909091,0.1,0.09523809523809523,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7817951010935235,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.689504133720024,False
5,6.625e-05,0.12121212121212122,0.03809523809523809,-0.04761904761904767,-0.015200868621064068,0.0,0.0,0.0,12,0.0,0.0,0.0,17,0.13333333333333333,0.8,0.22857142857142856,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7793039686752088,0.17647058823529413,0.049999999999999996,0.0,0.0,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.7057876325121113,False
6,7.75e-05,0.15151515151515152,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,17,0.15151515151515152,1.0,0.2631578947368421,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.778173503369996,0.14705882352941177,0.04273504273504273,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.14705882352941177,1.0,0.2564102564102564,5,0.0,0.0,0.0,2,0.7212074335883646,False
7,8.875e-05,0.15151515151515152,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,17,0.15151515151515152,1.0,0.2631578947368421,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7589861918579448,0.14705882352941177,0.04273504273504273,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.14705882352941177,1.0,0.2564102564102564,5,0.0,0.0,0.0,2,0.7376160635667689,False
8,0.0001,0.15151515151515152,0.04504504504504505,-0.0027129679869777323,0.028353326063249695,0.0,0.0,0.0,12,0.0,0.0,0.0,17,0.15625,1.0,0.2702702702702703,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.7519369352947581,0.4411764705882353,0.20066889632107024,0.2869757174392936,0.5641025641025641,0.0,0.0,0.0,6,0.625,1.0,0.7692307692307693,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.2777777777777778,1.0,0.43478260869565216,5,0.0,0.0,0.0,2,0.6834076474694645,True
9,9.995288696830197e-05,0.3333333333333333,0.15773809523809523,0.161662817551963,0.30128427629295385,0.0,0.0,0.0,12,0.5483870967741935,1.0,0.7083333333333334,17,0.15625,0.5,0.23809523809523808,10,0.0,0.0,0.0,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.703336356083552,0.5,0.3202020202020202,0.37648327939590065,0.6345794392523365,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.8,0.8,0.8,10,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.29411764705882354,1.0,0.45454545454545453,5,0.0,0.0,0.0,2,0.5563528298162946,True
10,9.98116375555414e-05,0.45454545454545453,0.24473401973401976,0.28282523392695436,0.5421209117938552,0.0,0.0,0.0,12,0.4358974358974359,1.0,0.6071428571428571,17,0.4,0.2,0.26666666666666666,10,0.5,0.7333333333333333,0.5945945945945946,15,0.0,0.0,0.0,9,0.0,0.0,0.0,3,0.6143746665029814,0.5,0.38479532163742686,0.38049303322615224,0.6590257879656161,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.8888888888888888,0.8,0.8421052631578947,10,0.5,0.3333333333333333,0.4,3,0.0,0.0,0.0,8,0.26666666666666666,0.8,0.4,5,0.0,0.0,0.0,2,0.5241276226791681,False
11,9.957652063800361e-05,0.45454545454545453,0.23677943677943677,0.28519855595667876,0.6100287448099648,0.0,0.0,0.0,12,0.4473684210526316,1.0,0.6181818181818182,17,0.0,0.0,0.0,10,0.5454545454545454,0.8,0.6486486486486487,15,0.25,0.1111111111111111,0.15384615384615385,9,0.0,0.0,0.0,3,0.5330839476802133,0.3235294117647059,0.35303454715219423,0.18711018711018712,0.5970149253731343,0.26666666666666666,0.6666666666666666,0.38095238095238093,6,0.0,0.0,0.0,10,0.5,0.3333333333333333,0.4,3,0.5,0.125,0.2,8,0.3333333333333333,0.8,0.47058823529411764,5,1.0,0.5,0.6666666666666666,2,0.47031408560042287,False
12,9.92479837741043e-05,0.5303030303030303,0.3655677655677656,0.389800178944229,0.6657169990503324,1.0,0.16666666666666666,0.2857142857142857,12,0.5,1.0,0.6666666666666666,17,0.4,0.2,0.26666666666666666,10,0.5714285714285714,0.8,0.6666666666666666,15,0.5,0.2222222222222222,0.3076923076923077,9,0.0,0.0,0.0,3,0.4501612571152774,0.35294117647058826,0.3665343915343915,0.23282051282051275,0.5991266375545852,0.3333333333333333,0.6666666666666666,0.4444444444444444,6,1.0,0.2,0.3333333333333333,10,0.5,0.6666666666666666,0.5714285714285714,3,0.5,0.125,0.2,8,0.18181818181818182,0.4,0.25,5,0.3333333333333333,0.5,0.4,2,0.4679293453109031,False
13,9.88266523524367e-05,0.7727272727272727,0.763768115942029,0.7129602783415483,0.8590145257761321,0.8181818181818182,0.75,0.782608695652174,12,0.6521739130434783,0.8823529411764706,0.75,17,0.8333333333333334,0.5,0.625,10,0.8235294117647058,0.9333333333333333,0.875,15,0.8571428571428571,0.6666666666666666,0.75,9,1.0,0.6666666666666666,0.8,3,0.35745311027223414,0.35294117647058826,0.396969696969697,0.2359550561797753,0.6120033812341505,0.2857142857142857,0.6666666666666666,0.4,6,1.0,0.1,0.18181818181818182,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.5,0.125,0.2,8,0.2,0.4,0.26666666666666666,5,0.5,1.0,0.6666666666666666,2,0.499997074639096,False
