epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.7166215098716996,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.7170605137652042,True
2,3.25e-05,0.24242424242424243,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,15,0.24242424242424243,1.0,0.3902439024390244,16,0.0,0.0,0.0,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6679294009551857,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.797343651395218,False
3,4.375e-05,0.15151515151515152,0.0715372907153729,0.0138740661686233,0.0014582573824279965,0.0,0.0,0.0,15,0.5,0.0625,0.1111111111111111,16,0.140625,1.0,0.2465753424657534,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6526782070597013,0.17647058823529413,0.06,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,6,0.891263342254302,False
4,5.4999999999999995e-05,0.13636363636363635,0.048,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,16,0.13636363636363635,1.0,0.24,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6476921976515742,0.17647058823529413,0.06,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.17647058823529413,1.0,0.3,6,0.9522679070631663,False
5,6.625e-05,0.13636363636363635,0.048,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,16,0.13636363636363635,1.0,0.24,9,0.0,0.0,0.0,15,0.0,0.0,0.0,11,0.6399104388825821,0.4411764705882353,0.2704761904761904,0.24708624708624705,0.6046511627906976,0.5789473684210527,1.0,0.7333333333333333,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.25,0.3333333333333333,0.2857142857142857,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.581741771569439,True
6,7.75e-05,0.4696969696969697,0.40093852093852095,0.33429394812680113,0.6004842615012107,0.5454545454545454,0.8,0.6486486486486487,15,0.5,0.3125,0.38461538461538464,16,0.42105263157894735,0.8888888888888888,0.5714285714285714,9,0.4,0.4,0.4,15,0.0,0.0,0.0,11,0.5191143721342086,0.5882352941176471,0.45740740740740743,0.45599999999999996,0.7586206896551724,0.6875,1.0,0.8148148148148148,11,0.0,0.0,0.0,6,0.3333333333333333,0.2,0.25,5,0.4166666666666667,0.8333333333333334,0.5555555555555556,6,1.0,0.5,0.6666666666666666,6,0.3978005358985826,True
7,8.875e-05,0.6363636363636364,0.5539495798319327,0.535483870967742,0.7721518987341772,0.5555555555555556,1.0,0.7142857142857143,15,1.0,0.25,0.4,16,1.0,0.8888888888888888,0.9411764705882353,9,0.5555555555555556,1.0,0.7142857142857143,15,0.0,0.0,0.0,11,0.407958163004933,0.6764705882352942,0.6143915343915344,0.5735461801596351,0.8095723014256619,0.6875,1.0,0.8148148148148148,11,1.0,0.16666666666666666,0.2857142857142857,6,0.8,0.8,0.8,5,0.5,0.6666666666666666,0.5714285714285714,6,0.75,0.5,0.6,6,0.34181335039582905,True
8,0.0001,0.8181818181818182,0.8228571428571427,0.7710982658959538,0.8932902182700081,0.5555555555555556,1.0,0.7142857142857143,15,1.0,0.25,0.4,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.2925179289936116,0.5882352941176471,0.45684981684981685,0.45847554038680316,0.764760147601476,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.16666666666666666,0.2857142857142857,6,0.5,0.2,0.2857142857142857,5,0.25,0.16666666666666666,0.2,6,0.5,1.0,0.6666666666666666,6,0.4731719634769594,False
9,9.998052800596113e-05,0.803030303030303,0.8127758420441348,0.7519514310494362,0.883834281072299,0.5384615384615384,0.9333333333333333,0.6829268292682927,15,0.8,0.25,0.38095238095238093,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.20729440954146963,0.6764705882352942,0.6051615051615051,0.5769230769230769,0.8095723014256619,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.16666666666666666,0.2857142857142857,6,0.5714285714285714,0.8,0.6666666666666666,5,0.5,0.5,0.5,6,0.8,0.6666666666666666,0.7272727272727273,6,0.38984458750734724,False
10,9.992212734338192e-05,0.8484848484848485,0.859090909090909,0.8091382301908617,0.9102040816326531,0.6,1.0,0.75,15,1.0,0.375,0.5454545454545454,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.16094579320457397,0.6470588235294118,0.5720146520146521,0.5384615384615384,0.7899073120494335,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.16666666666666666,0.2857142857142857,6,0.5714285714285714,0.8,0.6666666666666666,5,0.42857142857142855,0.5,0.46153846153846156,6,0.75,0.5,0.6,6,0.4196582061567289,False
11,9.982484395882215e-05,0.8333333333333334,0.8479375696767001,0.7899913219554526,0.9007383100902379,0.5833333333333334,0.9333333333333333,0.717948717948718,15,0.8571428571428571,0.375,0.5217391304347826,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.12731435010915226,0.7352941176470589,0.6855238095238094,0.654627539503386,0.8303393213572854,0.7857142857142857,1.0,0.88,11,1.0,0.3333333333333333,0.5,6,0.75,0.6,0.6666666666666666,5,0.625,0.8333333333333334,0.7142857142857143,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.5307802576434744,True
12,9.96887543897155e-05,0.9090909090909091,0.9205128205128205,0.8853503184713376,0.9450457951706911,0.7142857142857143,1.0,0.8333333333333334,15,1.0,0.625,0.7692307692307693,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.10337027087807656,0.6470588235294118,0.5753872053872053,0.5347776510832384,0.7787787787787788,0.6875,1.0,0.8148148148148148,11,0.5,0.16666666666666666,0.25,6,0.6,0.6,0.6,5,0.6,0.5,0.5454545454545454,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.49877639055210987,False
13,9.951396570415405e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,1.0,1.0,1.0,16,1.0,1.0,1.0,9,1.0,1.0,1.0,15,1.0,1.0,1.0,11,0.07545030482014585,0.7058823529411765,0.6613986013986015,0.6145124716553287,0.8105369807497467,0.7333333333333333,1.0,0.8461538461538461,11,1.0,0.3333333333333333,0.5,6,0.8,0.8,0.8,5,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,0.6,0.5,0.5454545454545454,6,0.51084174671046,False
