epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,is_best
1,1.4992456347051293,1.5737650387427387,0.17647058823529413,0.10153846153846154,0.0,0.1220657276995305,0.0,0.0,0.0,11,0.2,0.6666666666666666,0.3076923076923077,6,0.0,0.0,0.0,5,0.14285714285714285,0.3333333333333333,0.2,6,0.0,0.0,0.0,6,True
2,1.0950499005992003,1.705808009820826,0.3235294117647059,0.2803007518796992,0.1378169790518191,0.3481865284974093,0.4444444444444444,0.36363636363636365,0.4,11,0.25,0.3333333333333333,0.2857142857142857,6,0.0,0.0,0.0,5,0.23076923076923078,0.5,0.3157894736842105,6,0.5,0.3333333333333333,0.4,6,False
3,0.901953819424215,1.8424759615212678,0.35294117647058826,0.30666666666666664,0.16610925306577484,0.33607399794450155,0.45454545454545453,0.45454545454545453,0.45454545454545453,11,0.2222222222222222,0.3333333333333333,0.26666666666666666,6,0.0,0.0,0.0,5,0.2222222222222222,0.3333333333333333,0.26666666666666666,6,0.6,0.5,0.5454545454545454,6,False
4,0.7321474367922003,2.4216832881245542,0.20588235294117646,0.20392156862745098,0.00649350649350644,0.21058315334773214,0.3333333333333333,0.18181818181818182,0.23529411764705882,11,0.09090909090909091,0.16666666666666666,0.11764705882352941,6,0.0,0.0,0.0,5,0.16666666666666666,0.3333333333333333,0.2222222222222222,6,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,False
5,0.6080198147531711,2.548131945926477,0.29411764705882354,0.326031746031746,0.10428100987925348,0.2946808510638298,0.3333333333333333,0.2727272727272727,0.3,11,0.0,0.0,0.0,6,0.5,0.4,0.4444444444444444,5,0.25,0.3333333333333333,0.2857142857142857,6,0.75,0.5,0.6,6,False
6,0.5314163271977443,3.3146539006930062,0.23529411764705882,0.23416408668730648,0.04225352112676051,0.26399155227032733,0.3333333333333333,0.18181818181818182,0.23529411764705882,11,0.1,0.16666666666666666,0.125,6,0.0,0.0,0.0,5,0.15384615384615385,0.3333333333333333,0.21052631578947367,6,0.75,0.5,0.6,6,False
7,0.47682242342694237,3.5260519720189385,0.2647058823529412,0.27763197586726995,0.08798283261802586,0.3149522799575821,0.4,0.18181818181818182,0.25,11,0.09090909090909091,0.16666666666666666,0.11764705882352941,6,0.2,0.2,0.2,5,0.14285714285714285,0.16666666666666666,0.15384615384615385,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,False
8,0.41918847786281443,3.6389266087673606,0.29411764705882354,0.293292589763178,0.10231023102310244,0.29969104016477865,0.4444444444444444,0.36363636363636365,0.4,11,0.0,0.0,0.0,6,0.5,0.2,0.2857142857142857,5,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.6,0.5,0.5454545454545454,6,False
9,0.4327161049649044,3.995804040905718,0.2647058823529412,0.22444444444444445,0.0638766519823788,0.314516129032258,0.4444444444444444,0.36363636363636365,0.4,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.16666666666666666,0.3333333333333333,0.2222222222222222,6,0.5,0.5,0.5,6,False
10,0.4079313413108313,4.083024978977354,0.2647058823529412,0.24948306595365416,0.07508161044613704,0.2909280500521376,0.42857142857142855,0.2727272727272727,0.3333333333333333,11,0.1111111111111111,0.16666666666666666,0.13333333333333333,6,0.0,0.0,0.0,5,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.6,0.5,0.5454545454545454,6,False
11,0.3009572358256338,4.46311191972619,0.2647058823529412,0.2561904761904762,0.06077348066298338,0.2709205020920502,0.4,0.36363636363636365,0.38095238095238093,11,0.0,0.0,0.0,6,0.3333333333333333,0.2,0.25,5,0.2,0.3333333333333333,0.25,6,0.5,0.3333333333333333,0.4,6,False
12,0.2931408149772324,4.867831993113856,0.2647058823529412,0.23329364134317693,0.06900328587075588,0.31795386158475425,0.375,0.2727272727272727,0.3157894736842105,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,False
13,0.26962346907868523,5.259932032083538,0.23529411764705882,0.21213818860877684,0.02212389380530977,0.19047619047619047,0.4,0.36363636363636365,0.38095238095238093,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,False
14,0.24620528837378994,5.360480591129368,0.23529411764705882,0.21021671826625385,0.03176341730558596,0.25484199796126394,0.375,0.2727272727272727,0.3157894736842105,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.5,0.5,0.5,6,False
15,0.2859899958853746,5.520669933452754,0.2647058823529412,0.25129490392648285,0.07002188183807445,0.2777777777777778,0.375,0.2727272727272727,0.3157894736842105,11,0.15384615384615385,0.3333333333333333,0.21052631578947367,6,0.0,0.0,0.0,5,0.25,0.3333333333333333,0.2857142857142857,6,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,False
16,0.22369885221006103,5.562341114390395,0.23529411764705882,0.2046414112203586,0.03176341730558607,0.2748015873015873,0.375,0.2727272727272727,0.3157894736842105,11,0.14285714285714285,0.16666666666666666,0.15384615384615385,6,0.0,0.0,0.0,5,0.1,0.16666666666666666,0.125,6,0.375,0.5,0.42857142857142855,6,False
17,0.2982011126599515,5.818272895824082,0.23529411764705882,0.21669324827219563,0.03176341730558596,0.26391752577319594,0.375,0.2727272727272727,0.3157894736842105,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.16666666666666666,0.3333333333333333,0.2222222222222222,6,0.6,0.5,0.5454545454545454,6,False
18,0.20722592045585955,6.126237079891614,0.23529411764705882,0.22705882352941176,0.02643171806167388,0.2523560209424083,0.3333333333333333,0.2727272727272727,0.3,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.75,0.5,0.6,6,False
