epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,is_best
1,1.712267149858807,1.7019969058759286,0.24242424242424243,0.06504065040650407,0.0,0.0,0.0,0.0,0.0,6,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,True
2,1.5228517437455666,1.39161739024249,0.45454545454545453,0.2040133779264214,0.28,0.553191489361702,0.0,0.0,0.0,6,0.4444444444444444,1.0,0.6153846153846154,8,0.0,0.0,0.0,5,0.4666666666666667,0.875,0.6086956521739131,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,True
3,1.0754053262335743,1.2118581520788598,0.3939393939393939,0.1752873563218391,0.19999999999999996,0.46808510638297873,0.0,0.0,0.0,6,0.38095238095238093,1.0,0.5517241379310345,8,0.0,0.0,0.0,5,0.4166666666666667,0.625,0.5,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,True
4,0.9023398427820918,1.4756531771385308,0.3333333333333333,0.21045600936905284,0.1468860164512339,0.38261919130959565,0.2,0.16666666666666666,0.18181818181818182,6,0.4666666666666667,0.875,0.6086956521739131,8,0.25,0.2,0.2222222222222222,5,0.25,0.25,0.25,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,False
5,0.7276490604106467,1.28611972702272,0.48484848484848486,0.3426116367292838,0.34539089848308047,0.5537669027688346,0.0,0.0,0.0,6,0.5,0.875,0.6363636363636364,8,0.5,0.8,0.6153846153846154,5,0.4444444444444444,0.5,0.47058823529411764,8,0.5,0.25,0.3333333333333333,4,0.0,0.0,0.0,2,False
6,0.5855943349463429,1.4774499721599348,0.36363636363636365,0.2625,0.2016129032258065,0.47081462475946123,0.0,0.0,0.0,6,0.5,0.75,0.6,8,0.2727272727272727,0.6,0.375,5,0.2857142857142857,0.25,0.26666666666666666,8,0.5,0.25,0.3333333333333333,4,0.0,0.0,0.0,2,False
7,0.49644642413700396,2.138043199434425,0.3939393939393939,0.27459207459207463,0.23963133640553003,0.5463239689181112,0.0,0.0,0.0,6,0.3888888888888889,0.875,0.5384615384615384,8,0.2,0.2,0.2,5,0.6666666666666666,0.25,0.36363636363636365,8,0.42857142857142855,0.75,0.5454545454545454,4,0.0,0.0,0.0,2,False
8,0.37524376167586787,1.7373975638638843,0.42424242424242425,0.3215969215969216,0.28992072480181197,0.5194174757281553,0.0,0.0,0.0,6,0.5,0.625,0.5555555555555556,8,0.3,0.6,0.4,5,0.5,0.375,0.42857142857142855,8,0.42857142857142855,0.75,0.5454545454545454,4,0.0,0.0,0.0,2,False
9,0.30031036497719255,2.5058574909344316,0.45454545454545453,0.34650349650349654,0.3288135593220338,0.5589773387565369,0.0,0.0,0.0,6,0.5,0.75,0.6,8,0.5,0.8,0.6153846153846154,5,0.6666666666666666,0.25,0.36363636363636365,8,0.375,0.75,0.5,4,0.0,0.0,0.0,2,False
10,0.17402519837568575,2.778603016427069,0.42424242424242425,0.35839345839345843,0.29391891891891886,0.5630397236614854,0.5,0.3333333333333333,0.4,6,0.5,0.625,0.5555555555555556,8,0.2222222222222222,0.4,0.2857142857142857,5,0.6666666666666666,0.25,0.36363636363636365,8,0.42857142857142855,0.75,0.5454545454545454,4,0.0,0.0,0.0,2,False
11,0.11706601860122152,2.692755849659443,0.42424242424242425,0.33026315789473687,0.2962962962962963,0.5178258328462887,0.5,0.16666666666666666,0.25,6,0.5454545454545454,0.75,0.631578947368421,8,0.3,0.6,0.4,5,0.5,0.125,0.2,8,0.375,0.75,0.5,4,0.0,0.0,0.0,2,False
12,0.055507648467035285,2.961587125164541,0.30303030303030304,0.2679732103645147,0.16317530319735385,0.41252302025782683,0.5,0.16666666666666666,0.25,6,0.6666666666666666,0.25,0.36363636363636365,8,0.16666666666666666,0.6,0.2608695652173913,5,0.5,0.25,0.3333333333333333,8,0.3333333333333333,0.5,0.4,4,0.0,0.0,0.0,2,False
13,0.03757621603021723,3.3009378172795882,0.3939393939393939,0.3363370547581073,0.2691029900332227,0.5373831775700935,0.5,0.3333333333333333,0.4,6,0.75,0.375,0.5,8,0.2857142857142857,0.8,0.42105263157894735,5,0.5,0.25,0.3333333333333333,8,0.2857142857142857,0.5,0.36363636363636365,4,0.0,0.0,0.0,2,False
14,0.0353480390511657,3.6917118457978533,0.3939393939393939,0.331973581973582,0.2666666666666666,0.5206703910614525,0.42857142857142855,0.5,0.46153846153846156,6,0.5,0.25,0.3333333333333333,8,0.36363636363636365,0.8,0.5,5,0.5,0.25,0.3333333333333333,8,0.2857142857142857,0.5,0.36363636363636365,4,0.0,0.0,0.0,2,False
15,0.02732188640806977,4.073678198834938,0.36363636363636365,0.2569112174375332,0.2291434927697441,0.4596725288053366,0.0,0.0,0.0,6,0.5,0.5,0.5,8,0.35714285714285715,1.0,0.5263157894736842,5,0.3333333333333333,0.125,0.18181818181818182,8,0.25,0.5,0.3333333333333333,4,0.0,0.0,0.0,2,False
16,0.014107946045256559,4.149123592634516,0.36363636363636365,0.30183890183890183,0.24013157894736836,0.4652777777777778,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.6666666666666666,0.25,0.36363636363636365,8,0.26666666666666666,0.8,0.4,5,0.6666666666666666,0.25,0.36363636363636365,8,0.3333333333333333,0.75,0.46153846153846156,4,0.0,0.0,0.0,2,False
17,0.015043839855529068,4.068597066081411,0.36363636363636365,0.2955128205128205,0.2384615384615384,0.5166959578207381,0.5,0.16666666666666666,0.25,6,0.6,0.375,0.46153846153846156,8,0.26666666666666666,0.8,0.4,5,0.5,0.125,0.2,8,0.3333333333333333,0.75,0.46153846153846156,4,0.0,0.0,0.0,2,False
18,0.011344145247347847,4.489939403553338,0.30303030303030304,0.22454212454212455,0.17768147345612129,0.4635761589403974,1.0,0.16666666666666666,0.2857142857142857,6,0.5,0.125,0.2,8,0.25,1.0,0.4,5,0.0,0.0,0.0,8,0.3333333333333333,0.75,0.46153846153846156,4,0.0,0.0,0.0,2,False
19,0.03716599100468616,4.5925953759113325,0.30303030303030304,0.22698412698412698,0.162251655629139,0.4159292035398231,0.0,0.0,0.0,6,0.5,0.125,0.2,8,0.21052631578947367,0.8,0.3333333333333333,5,0.5,0.375,0.42857142857142855,8,0.3333333333333333,0.5,0.4,4,0.0,0.0,0.0,2,False
20,0.02323975221692516,4.5827437787232075,0.24242424242424243,0.2026048026048026,0.10423452768729635,0.3857868020304569,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.125,0.2,8,0.1875,0.6,0.2857142857142857,5,0.5,0.125,0.2,8,0.2222222222222222,0.5,0.3076923076923077,4,0.0,0.0,0.0,2,False
21,0.010419917939483032,4.536220192846976,0.30303030303030304,0.2674843674843675,0.17410228509249182,0.4602368866328257,0.5,0.3333333333333333,0.4,6,1.0,0.125,0.2222222222222222,8,0.1875,0.6,0.2857142857142857,5,0.6666666666666666,0.25,0.36363636363636365,8,0.25,0.5,0.3333333333333333,4,0.0,0.0,0.0,2,False
22,0.009137016661235921,4.814676179940844,0.3333333333333333,0.25337301587301586,0.1960132890365447,0.43008356545961,0.25,0.16666666666666666,0.2,6,0.625,0.625,0.625,8,0.2,0.4,0.26666666666666666,5,0.0,0.0,0.0,8,0.3,0.75,0.42857142857142855,4,0.0,0.0,0.0,2,False
23,0.024058850123781585,4.997282771344269,0.3333333333333333,0.2750272331154684,0.192436040044494,0.46341463414634143,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.375,0.375,0.375,8,0.25,0.6,0.35294117647058826,5,0.5,0.125,0.2,8,0.375,0.75,0.5,4,0.0,0.0,0.0,2,False
24,0.022747903282697508,5.136183904794532,0.30303030303030304,0.2554353054353054,0.15666666666666673,0.38558558558558553,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.375,0.42857142857142855,8,0.2,0.6,0.3,5,0.3333333333333333,0.125,0.18181818181818182,8,0.3333333333333333,0.5,0.4,4,0.0,0.0,0.0,2,False
25,0.007070220018911062,5.738117462703932,0.3939393939393939,0.3080409356725146,0.2592592592592593,0.4792518994739918,0.5,0.16666666666666666,0.25,6,0.5454545454545454,0.75,0.631578947368421,8,0.2,0.4,0.26666666666666666,5,0.5,0.125,0.2,8,0.375,0.75,0.5,4,0.0,0.0,0.0,2,False
26,0.008979531432887416,5.269334500139071,0.2727272727272727,0.20776397515527947,0.11310190369540885,0.3378640776699029,0.0,0.0,0.0,6,0.25,0.125,0.16666666666666666,8,0.16666666666666666,0.6,0.2608695652173913,5,0.5714285714285714,0.5,0.5333333333333333,8,0.3333333333333333,0.25,0.2857142857142857,4,0.0,0.0,0.0,2,False
27,0.038733515912794406,6.484057629997331,0.30303030303030304,0.21690821256038648,0.13749999999999996,0.43870967741935485,0.0,0.0,0.0,6,0.3333333333333333,0.625,0.43478260869565216,8,0.14285714285714285,0.2,0.16666666666666666,5,0.5,0.125,0.2,8,0.375,0.75,0.5,4,0.0,0.0,0.0,2,False
28,0.018958867020631067,5.66159044878598,0.42424242424242425,0.3191130930261365,0.2768166089965398,0.5011627906976743,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.4666666666666667,0.875,0.6086956521739131,8,0.25,0.2,0.2222222222222222,5,0.6,0.375,0.46153846153846156,8,0.3333333333333333,0.5,0.4,4,0.0,0.0,0.0,2,False
29,0.016177058033821624,5.952552108891233,0.30303030303030304,0.23545986177565123,0.15384615384615385,0.4196482716798059,0.0,0.0,0.0,6,0.42857142857142855,0.375,0.4,8,0.21428571428571427,0.6,0.3157894736842105,5,0.5,0.25,0.3333333333333333,8,0.2857142857142857,0.5,0.36363636363636365,4,0.0,0.0,0.0,2,False
30,0.028054601220486603,6.2248472523820855,0.30303030303030304,0.23321164129987662,0.15666666666666662,0.41037463976945243,0.0,0.0,0.0,6,0.3333333333333333,0.375,0.35294117647058826,8,0.2727272727272727,0.6,0.375,5,0.6666666666666666,0.25,0.36363636363636365,8,0.2222222222222222,0.5,0.3076923076923077,4,0.0,0.0,0.0,2,False
31,0.003374029038838413,6.380846057558841,0.3333333333333333,0.2744949494949495,0.20394736842105254,0.4486873508353223,0.5,0.16666666666666666,0.25,6,0.5,0.25,0.3333333333333333,8,0.23529411764705882,0.8,0.36363636363636365,5,0.5,0.125,0.2,8,0.375,0.75,0.5,4,0.0,0.0,0.0,2,False
32,0.00465709928933153,5.6145985303249155,0.24242424242424243,0.18333333333333335,0.09140969162995594,0.3470887507066138,0.0,0.0,0.0,6,0.42857142857142855,0.375,0.4,8,0.09090909090909091,0.2,0.125,5,0.5,0.125,0.2,8,0.25,0.75,0.375,4,0.0,0.0,0.0,2,False
33,0.012699670087093733,6.1956970203694945,0.2727272727272727,0.3055555555555555,0.1334792122538293,0.43760307861462344,0.0,0.0,0.0,6,0.5,0.25,0.3333333333333333,8,0.09090909090909091,0.2,0.125,5,0.5,0.25,0.3333333333333333,8,0.25,0.75,0.375,4,1.0,0.5,0.6666666666666666,2,False
34,0.014298709801222055,6.072530899861029,0.30303030303030304,0.24794704206468912,0.15384615384615374,0.41642897889332575,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.4444444444444444,0.5,0.47058823529411764,8,0.1,0.2,0.13333333333333333,5,0.5,0.125,0.2,8,0.3333333333333333,0.75,0.46153846153846156,4,0.0,0.0,0.0,2,False
35,0.019366282006360588,6.2805770437610615,0.2727272727272727,0.23062678062678063,0.14099783080260309,0.39359810314167165,0.5,0.16666666666666666,0.25,6,1.0,0.125,0.2222222222222222,8,0.15789473684210525,0.6,0.25,5,0.5,0.125,0.2,8,0.3333333333333333,0.75,0.46153846153846156,4,0.0,0.0,0.0,2,False
36,0.020722634547664553,5.948930805816108,0.30303030303030304,0.2310457516339869,0.15478841870824056,0.42865671641791037,0.0,0.0,0.0,6,0.3333333333333333,0.375,0.35294117647058826,8,0.23076923076923078,0.6,0.3333333333333333,5,0.5,0.125,0.2,8,0.375,0.75,0.5,4,0.0,0.0,0.0,2,False
37,0.00799890350590725,7.547335109379503,0.24242424242424243,0.15555555555555556,0.10907127429805619,0.27622999407231763,0.0,0.0,0.0,6,0.0,0.0,0.0,8,0.21052631578947367,0.8,0.3333333333333333,5,0.5,0.125,0.2,8,0.2727272727272727,0.75,0.4,4,0.0,0.0,0.0,2,False
38,0.004963550351158565,6.48816872428048,0.2727272727272727,0.2162037037037037,0.12,0.41627358490566035,0.0,0.0,0.0,6,0.375,0.375,0.375,8,0.15384615384615385,0.4,0.2222222222222222,5,0.5,0.125,0.2,8,0.375,0.75,0.5,4,0.0,0.0,0.0,2,False
39,0.0032778949431201965,6.571943323776081,0.21212121212121213,0.16125541125541124,0.05506607929515406,0.27247032221594125,0.0,0.0,0.0,6,0.3333333333333333,0.25,0.2857142857142857,8,0.09090909090909091,0.2,0.125,5,0.3333333333333333,0.125,0.18181818181818182,8,0.25,0.75,0.375,4,0.0,0.0,0.0,2,False
