epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,is_best
1,1.3865462547511012,1.231174067294959,0.45454545454545453,0.24043209876543212,0.2834740651387214,0.5235404896421846,0.5,0.16666666666666666,0.25,6,0.42105263157894735,1.0,0.5925925925925926,8,0.0,0.0,0.0,5,0.5,0.75,0.6,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,True
2,1.018951364298958,1.2534724561102462,0.5151515151515151,0.3261111111111111,0.3661464585834333,0.5910780669144982,0.5,0.16666666666666666,0.25,6,0.47058823529411764,1.0,0.64,8,0.0,0.0,0.0,5,0.5384615384615384,0.875,0.6666666666666666,8,1.0,0.25,0.4,4,0.0,0.0,0.0,2,False
3,0.6138359757798229,1.267928286416061,0.42424242424242425,0.2654320987654321,0.25798816568047345,0.5474060822898033,0.5,0.16666666666666666,0.25,6,0.42105263157894735,1.0,0.5925925925925926,8,0.0,0.0,0.0,5,0.5,0.5,0.5,8,0.25,0.25,0.25,4,0.0,0.0,0.0,2,False
4,0.3494256764279669,1.2748355552779906,0.5151515151515151,0.3898090637221072,0.3721759809750297,0.6141538461538462,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.4666666666666667,0.875,0.6086956521739131,8,0.5,0.2,0.2857142857142857,5,0.5,0.75,0.6,8,1.0,0.25,0.4,4,0.0,0.0,0.0,2,False
5,0.19386991152437913,1.364301421243528,0.5151515151515151,0.4139433551198257,0.38604651162790693,0.6842993809791784,0.5,0.5,0.5,6,0.4166666666666667,0.625,0.5,8,1.0,0.2,0.3333333333333333,5,0.6666666666666666,0.75,0.7058823529411765,8,0.4,0.5,0.4444444444444444,4,0.0,0.0,0.0,2,False
6,0.13427423437760763,1.1652746364761808,0.48484848484848486,0.34803921568627455,0.34309133489461363,0.6005763688760808,0.4,0.3333333333333333,0.36363636363636365,6,0.5,0.875,0.6363636363636364,8,0.0,0.0,0.0,5,0.5555555555555556,0.625,0.5882352941176471,8,0.5,0.5,0.5,4,0.0,0.0,0.0,2,True
7,0.1876531182177856,1.5350922046906568,0.5757575757575758,0.451904761904762,0.45260663507109,0.660205935796487,1.0,0.3333333333333333,0.5,6,0.47058823529411764,1.0,0.64,8,1.0,0.2,0.3333333333333333,5,0.6,0.75,0.6666666666666666,8,0.6666666666666666,0.5,0.5714285714285714,4,0.0,0.0,0.0,2,False
8,0.13887707390880388,1.365248056258442,0.48484848484848486,0.37331649831649827,0.3353080568720379,0.5925925925925926,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.42857142857142855,0.75,0.5454545454545454,8,0.3333333333333333,0.2,0.25,5,0.5,0.75,0.6,8,1.0,0.25,0.4,4,0.0,0.0,0.0,2,False
9,0.11843494300687667,1.918315650687807,0.5454545454545454,0.3543018173452956,0.4128113879003559,0.665474060822898,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.5333333333333333,1.0,0.6956521739130435,8,0.0,0.0,0.0,5,0.5833333333333334,0.875,0.7,8,0.3333333333333333,0.25,0.2857142857142857,4,0.0,0.0,0.0,2,False
10,0.12403584747676291,1.3170248454579865,0.5151515151515151,0.415499533146592,0.3831775700934579,0.6241457858769932,0.5,0.5,0.5,6,0.46153846153846156,0.75,0.5714285714285714,8,1.0,0.2,0.3333333333333333,5,0.5555555555555556,0.625,0.5882352941176471,8,0.5,0.5,0.5,4,0.0,0.0,0.0,2,False
