epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,is_best
1,0.14806394928991767,1.6832818849238032,0.48484848484848486,0.2548148148148148,0.32328106151990355,0.6008911521323999,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.8888888888888888,0.64,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,True
2,0.0001719037853162539,1.671066453025648,0.48484848484848486,0.2548148148148148,0.32328106151990355,0.6008911521323999,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.8888888888888888,0.64,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,True
3,5.687316368163752e-05,1.7866100574222703,0.48484848484848486,0.2548148148148148,0.32328106151990355,0.6008911521323999,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.8888888888888888,0.64,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,False
4,2.7854969484046456e-05,1.849120971125861,0.48484848484848486,0.2548148148148148,0.32328106151990355,0.6008911521323999,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.8888888888888888,0.64,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,False
5,2.1402435818141493e-05,1.8840751787802825,0.48484848484848486,0.2548148148148148,0.32328106151990355,0.6008911521323999,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.8888888888888888,0.64,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,False
6,1.0732558874493425e-05,1.925856271513145,0.48484848484848486,0.2548148148148148,0.32328106151990355,0.6008911521323999,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.8888888888888888,0.64,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,False
7,8.629749279735457e-06,1.9841209047608022,0.48484848484848486,0.2548148148148148,0.32328106151990355,0.6008911521323999,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.8888888888888888,0.64,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,False
8,1.4693615572068394e-05,1.8681090885180642,0.5151515151515151,0.2888888888888889,0.3653846153846153,0.6268844221105527,0.5,0.3333333333333333,0.4,6,0.5333333333333333,0.8888888888888888,0.6666666666666666,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,False
9,5.852955082921097e-06,1.926194610068518,0.48484848484848486,0.2548148148148148,0.32328106151990355,0.6008911521323999,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.8888888888888888,0.64,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,False
10,4.354843540805809e-06,1.9829214927105403,0.48484848484848486,0.2548148148148148,0.32328106151990355,0.6008911521323999,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.8888888888888888,0.64,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,False
